Service_Name,Organisation,csw,openapi,openapi_doc,stac,wcs,wmts,wms,opendap,webdav,opensearch,odata,motu
Copernicus Climate Data Store,ECMWF,https://cds.climate.copernicus.eu/geonetwork/srv/eng/csw,https://cds.climate.copernicus.eu/api/v2/,https://cds.climate.copernicus.eu/broker/openapi/swagger.json,,,,,,,,,
Copernicus Atmosphere Data Store,ECMWF,,https://ads.atmosphere.copernicus.eu/api/v2/,,,,,http://eccharts.ecmwf.int/wms/?token=public&request=GetCapabilities&version=1.3.0,,,,,
Copernicus Land Monitoring Service,VITO,https://land.copernicus.vgt.vito.be/geonetwork/srv/eng/csw,https://land.copernicus.vgt.vito.be/geonetwork/srv/,https://land.copernicus.vgt.vito.be/geonetwork/srv/v2/api-docs,,https://viewer.globalland.vgt.vito.be/geoserver/ows?service=WCS&request=GetCapabilities,https://viewer.globalland.vgt.vito.be/geoserver/ows?service=WMS&request=GetCapabilities,https://viewer.globalland.vgt.vito.be/geoserver/ows?service=WMS&request=GetCapabilities,,,https://phenology.vgt.vito.be/description,,
EUMETSAT,EUMETSAT,https://data.eumetsat.int/elastic-csw/service?,https://api.eumetsat.int/data/browse/1.0.0/,https://api.eumetsat.int/data/browse/1.0.0/swagger.json,,,,,,,https://api.eumetsat.int/data/search-products/1.0.0/os,,
Copernicus Marine Service,Mercator Ocean Interantional,https://cmems-catalog-ro.cls.fr/geonetwork/srv/eng/csw-MYOCEAN-CORE-PRODUCTS,,,,,,,https//nrt.cmems-du.eu/thredds/dodsC/,,,,https://my.cmems-du.eu/motu-web/Motu?
WekEO,WekEO,https://pn-csw.apps.mercator.dpi.wekeo.eu/elastic-csw/service,https://wekeo-broker.apps.mercator.dpi.wekeo.eu/databroker/,https://wekeo-broker.apps.mercator.dpi.wekeo.eu/databroker/swagger.json,,,,,,,,,
European Environment Agency Spatial Data Catalogue,European Environment Agency,https://sdi.eea.europa.eu/catalogue/copernicus/eng/csw,https://sdi.eea.europa.eu/catalogue/srv/api/,https://sdi.eea.europa.eu/catalogue/srv/api/doc,,,,,,https://sdi.eea.europa.eu/webdav/,,,
Destination Earth Data Lake (hda),EUMETSAT,,https://hda.p3.csgroup.space/,https://hda.p3.csgroup.space/docs/openapi.yaml,,,,,,,,,
VITO terrascope.be,VITO,,,,https://services.terrascope.be/stac/,,https://services.terrascope.be/wmts/v2/wmts?service=wmts&request=GetCapabilities,https://services.terrascope.be/wms/v2/wms?service=wms&request=GetCapabilities,,,https://services.terrascope.be/catalogue/description,,
Creodias,CloudFerro,,,,https://datahub.creodias.eu/stac/,,,,,,https://datahub.creodias.eu/resto/api/collections/search.json?,https://datahub.creodias.eu/odata/v1/Products?,
Sinergise Sentinel Hub,Sinergise,,,,https://services.sentinel-hub.com/api/v1/catalog/1.0.0/,,,,,,,,
Copernicus Data Space,ESA,,https://sh.dataspace.copernicus.eu/api/v1/,https://documentation.dataspace.copernicus.eu/APIs/SentinelHub/ApiReference/openapi.v1.yaml,https://catalogue.dataspace.copernicus.eu/stac/,,,,,,,,
Earth Search - AWS public datasets,Amazon AWS,,https://github.com/Open-EO/openeo-api/blob/master/openapi.yamlhttps://github.com/Open-EO/openeo-api/blob/master/openapi.yaml,,https://earth-search.aws.element84.com/v1/,,,,,,,,
Microsoft Planetary Computer,Microsoft,,,,https://planetarycomputer.microsoft.com/api/stac/v1/,,,,,,,,
Google Earth Engine Driver for openEO,Google,,,,https://earthengine.openeo.org/v1.0/,,,,,,,,
openEO Platform,OpenEO,,https://api.openeo.org/1.2.0,https://raw.githubusercontent.com/Open-EO/openeo-api/master/openapi.yaml,https://openeocloud.vito.be/openeo/1.0.0/,,,,,,,,
ECMWF Destination Earth Digital Twins,ECMWF,,https://polytope.ecmwf.int/api/v1/,,,,,,,,,,
EODC API (openEO),EODC,,,,https://openeo.eodc.eu/v1.0/,,,,,,,,
Eurac Research (openEO),EURAC,,,,https://openeo.eurac.edu/,,,,,,,,
ESA Open Science Catalog,ESA,,,,https://resource-catalogue.staging.opensciencedata.esa.int/,,,,,,,,
OpenTopography Data Catalog,OpenTopography,,,,https://portal.opentopography.org/stac/,,,,,,,,
VITO Remote Sensing openEO API ,VITO,,,,https://openeo.vito.be/openeo/1.0/,,,,,,,,
