id,old_id,prov_id,title,,,,,,wekeo,dataspace,cds,clms,vito,terrascope,openeo,eea,eum,cmems,mspc,gee,earthsearch,creodias,sentinelhub,eurac,openscience,Priority,licensor,producer,processor,license,Status,Note
EO.ECMWF.DAT.DEDT.CC-OP,DTCC-01,dtwins,Digital Twin forecast Climate Change Adaptation,,,,,,,,,,,,,,,,,,,,,,,1,ECMWF,ECMWF,ECMWF,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,ID_CHANGE,"DE for DestinE, DT for Digital Twins, CC Climate change, OP, operational"
EO.ECMWF.DAT.DEDT.EE-OP,DTEE-01,dtwins,Weather-induced and Geophysical Extremes Digital Twin,,,,,,,,,,,,,,,,,,,,,,,2,ECMWF,ECMWF,ECMWF,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,ID_CHANGE,"DE for DestinE, DT for Digital Twins, EE Extreme Events, OP, operational"
EO.ECMWF.DAT.DEDT.CC-OD,DTCC-OD-01,dtwins,On-demand Climate Change,,,,,,,,,,,,,,,,,,,,,,,3,ECMWF,ECMWF,ECMWF,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,ID_CHANGE,"DE for DestinE, DT for Digital Twins, CC Climate change, OD On Demand"
EO.ECMWF.DAT.DEDT.EE-OD,DTEE-OD-01,dtwins,On-demand Extreme Event,,,,,,,,,,,,,,,,,,,,,,,4,ECMWF,ECMWF,ECMWF,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,ID_CHANGE,"DE for DestinE, DT for Digital Twins, EE Extreme Events, OD On Demand"
EO.ESA.DAT.COP-DEM.GLO-30,EO:ESA:DAT:COP,esa,Copernicus DEM - Global and European Digital Elevation Model (COP-DEM),,,,,,EO:DEM:DAT:COP-DEM_GLO-30-DGED__2021_1,,,,TERRASCOPE_S2_FAPAR_V2,urn:eop:VITO:TERRASCOPE_S2_FAPAR_V2,TERRASCOPE_S2_FAPAR_V2,,,,cop-dem-glo-30,COPERNICUS/DEM/GLO30,cop-dem-glo-30,COP-DEM,,,,5,ESA,Sinergise,sinergise,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32013R1159,,
EO.CLMS.DAT.CORINE,EO:CLMS:DAT:CORINE,eea,CORINE Land Cover,,,,,,EO:CLMS:DAT:CORINE,,,,CORINE_LAND_COVER,,CORINE_LAND_COVER,a5144888-ee2a-4e5d-a7b0-2bbf21656348,,,,COPERNICUS/CORINE/V20/100m,,,,,,6,EEA,EEA,EEA,https://www.eea.europa.eu/en/datahub/eea-data-policy,,
STAT.EUSTAT.DAT.POP_AGE_SEX_NUTS2,STAT:EUSTAT:DAT:POP_AGE_SEX_NUTS2,eustat,Population distribution: Population on 1 January by age sex and NUTS 2 region,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
STAT.EUSTAT.DAT.POP_AGE_GROUP_SEX_NUTS3,STAT:EUSTAT:DAT:POP_AGE_GROUP_SEX_NUTS3,eustat,Population distribution: Population on 1 January by age group sex and NUTS 3 region,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
STAT.EUSTAT.DAT.POP_CHANGE_DEMO_BALANCE_CRUDE_RATES_NUTS3,STAT:EUSTAT:DAT:POP_CHANGE_DEMO_BALANCE_CRUDE_RATES_NUTS3,eustat,Population change - Demographic balance and crude rates at regional level (NUTS 3),,,,,,,,,,,,,,,,,,,,,,,9,,,,,,
STAT.EUSTAT.DAT.GREENHOUSE_GAS_EMISSION_AGRICULTURE,STAT:EUSTAT:DAT:GREENHOUSE_GAS_EMISSION_AGRICULTURE,eustat,Greenhouse gas emissions from agriculture,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,
STAT.EUSTAT.DAT.SHARE_ENERGY_FROM_RENEWABLE,STAT:EUSTAT:DAT:SHARE_ENERGY_FRONM_RENEWABLE,eustat,Share of energy from renewable sources,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,
EO.ECMWF.DAT.SIS-HYDROLOGY-METEOROLOGY-DERIVED-PROJECTIONS,EO:ECMWF:DAT:SIS_HYDROLOGY_METEOROLOGY_DERIVED_PROJECTIONS,cds,Hydrology-related climate impact indicators from 1970 to 2100 derived from bias adjusted European climate projections,,,,,,EO:ECMWF:DAT:SIS_HYDROLOGY_METEOROLOGY_DERIVED_PROJECTIONS,,eu.copernicus.climate.sis-hydrology-meteorology-derived-projections,,,,,,,,,,,,,,,12,ECMWF,ECMWF,ECMWF,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,NEW,Replacing both EO:ECMWF:DAT:WATER_QUALITY_INDICATOR_FOR_EUROPEAN_RIVERS and EO:ECMWF:DAT:WATER_QUANTITY_INDICATORS_FOR_EUROPEAN_CATCHMENTS
,EO:ECMWF:DAT:WATER_QUALITY_INDICATOR_FOR_EUROPEAN_RIVERS,cds,Water quantity indicators for Europe,,,,,,EO:ECMWF:DAT:WATER_QUALITY_INDICATOR_FOR_EUROPEAN_RIVERS,,,,,,,,,,,,,,,,,12,ECMWF,ECMWF,ECMWF,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,DECOM,"Decommissioned, Replaced by EO:ECMWF:DAT:SIS_HYDROLOGY_METEOROLOGY_DERIVED_PROJECTIONS"
EO.ECMWF.DAT.ERA5-HOURLY-VARIABLES-ON-PRESSURE-LEVELS,EO:ECMWF:DAT:ERA5_HOURLY_VARIABLES_ON_PRESSURE_LEVELS,cds,ERA5 hourly data on pressure levels from 1979 to present,,,,,,EO:ECMWF:DAT:REANALYSIS_ERA5_PRESSURE_LEVELS,,eu.copernicus.climate.reanalysis-era5-pressure-levels,,,,,,,,,,,,,,,13,ECMWF,ECMWF,ECMWF,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,
EO.ECMWF.DAT.ERA5-LAND-HOURLY,EO:ECMWF:DAT:ERA5_LAND_HOURLY,cds,ERA5-Land hourly data from 1950 to present,,,,,,EO:ECMWF:DAT:REANALYSIS_ERA5_LAND,,eu.copernicus.climate.reanalysis-era5-land,,,,,,,,,,,,,,,14,ECMWF,ECMWF,ECMWF,https://cds.climate.copernicus.eu/api/v2/terms/static/licence-to-use-copernicus-products.pdf,,
