id_dedl,original,upper,missions,unsep,rmstr,split
,eu.copernicus.climate.cams-global-reanalysis-eac4-monthly,EU.COPERNICUS.CLIMATE.CAMS-GLOBAL-REANALYSIS-EAC4-MONTHLY,EU.COP.CLIMATE.CAMS-GLOBAL-REANALYSIS-EAC4-MONTHLY,EU.COP.CLIMATE.CAMS GLOBAL REANALYSIS EAC4 MONTHLY,EU.COP.CLIMATE.CAMS GLOBAL REANALYSIS EAC4 MONTHLY,"['EU.COP.CLIMATE.CAMS', 'GLOBAL', 'REANALYSIS', 'EAC4', 'MONTHLY']"
,eu.copernicus.climate.cems-fire-historical,EU.COPERNICUS.CLIMATE.CEMS-FIRE-HISTORICAL,EU.COP.CLIMATE.CEMS-FIRE-HISTORICAL,EU.COP.CLIMATE.CEMS FIRE HISTORICAL,EU.COP.CLIMATE.CEMS FIRE HISTORICAL,"['EU.COP.CLIMATE.CEMS', 'FIRE', 'HISTORICAL']"
,eu.copernicus.climate.cems-fire-historical-v1,EU.COPERNICUS.CLIMATE.CEMS-FIRE-HISTORICAL-V1,EU.COP.CLIMATE.CEMS-FIRE-HISTORICAL-V1,EU.COP.CLIMATE.CEMS FIRE HISTORICAL V1,EU.COP.CLIMATE.CEMS FIRE HISTORICAL V1,"['EU.COP.CLIMATE.CEMS', 'FIRE', 'HISTORICAL', 'V1']"
,eu.copernicus.climate.cems-glofas-forecast,EU.COPERNICUS.CLIMATE.CEMS-GLOFAS-FORECAST,EU.COP.CLIMATE.CEMS-GLOFAS-FORECAST,EU.COP.CLIMATE.CEMS GLOFAS FORECAST,EU.COP.CLIMATE.CEMS GLOFAS FORECAST,"['EU.COP.CLIMATE.CEMS', 'GLOFAS', 'FORECAST']"
,eu.copernicus.climate.cems-glofas-historical,EU.COPERNICUS.CLIMATE.CEMS-GLOFAS-HISTORICAL,EU.COP.CLIMATE.CEMS-GLOFAS-HISTORICAL,EU.COP.CLIMATE.CEMS GLOFAS HISTORICAL,EU.COP.CLIMATE.CEMS GLOFAS HISTORICAL,"['EU.COP.CLIMATE.CEMS', 'GLOFAS', 'HISTORICAL']"
,eu.copernicus.climate.cems-glofas-reforecast,EU.COPERNICUS.CLIMATE.CEMS-GLOFAS-REFORECAST,EU.COP.CLIMATE.CEMS-GLOFAS-REFORECAST,EU.COP.CLIMATE.CEMS GLOFAS REFORECAST,EU.COP.CLIMATE.CEMS GLOFAS REFORECAST,"['EU.COP.CLIMATE.CEMS', 'GLOFAS', 'REFORECAST']"
,eu.copernicus.climate.cems-glofas-seasonal,EU.COPERNICUS.CLIMATE.CEMS-GLOFAS-SEASONAL,EU.COP.CLIMATE.CEMS-GLOFAS-SEASONAL,EU.COP.CLIMATE.CEMS GLOFAS SEASONAL,EU.COP.CLIMATE.CEMS GLOFAS SEASONAL,"['EU.COP.CLIMATE.CEMS', 'GLOFAS', 'SEASONAL']"
,eu.copernicus.climate.cems-glofas-seasonal-reforecast,EU.COPERNICUS.CLIMATE.CEMS-GLOFAS-SEASONAL-REFORECAST,EU.COP.CLIMATE.CEMS-GLOFAS-SEASONAL-REFORECAST,EU.COP.CLIMATE.CEMS GLOFAS SEASONAL REFORECAST,EU.COP.CLIMATE.CEMS GLOFAS SEASONAL REFORECAST,"['EU.COP.CLIMATE.CEMS', 'GLOFAS', 'SEASONAL', 'REFORECAST']"
,eu.copernicus.climate.derived-near-surface-meteorological-variables,EU.COPERNICUS.CLIMATE.DERIVED-NEAR-SURFACE-METEOROLOGICAL-VARIABLES,EU.COP.CLIMATE.DERIVED-NEAR-SURFACE-METEOROLOGICAL-VARIABLES,EU.COP.CLIMATE.DERIVED NEAR SURFACE METEOROLOGICAL VARIABLES,EU.COP.CLIMATE.DERIVED NEAR SURFACE METROLOGICAL VARIABLES,"['EU.COP.CLIMATE.DERIVED', 'NEAR', 'SURFACE', 'METROLOGICAL', 'VARIABLES']"
,eu.copernicus.climate.derived-reanalysis-energy-moisture-budget,EU.COPERNICUS.CLIMATE.DERIVED-REANALYSIS-ENERGY-MOISTURE-BUDGET,EU.COP.CLIMATE.DERIVED-REANALYSIS-ENERGY-MOISTURE-BUDGET,EU.COP.CLIMATE.DERIVED REANALYSIS ENERGY MOISTURE BUDGET,EU.COP.CLIMATE.DERIVED REANALYSIS ENERGY MOISTURE BUDGET,"['EU.COP.CLIMATE.DERIVED', 'REANALYSIS', 'ENERGY', 'MOISTURE', 'BUDGET']"
,eu.copernicus.climate.derived-utci-historical,EU.COPERNICUS.CLIMATE.DERIVED-UTCI-HISTORICAL,EU.COP.CLIMATE.DERIVED-UTCI-HISTORICAL,EU.COP.CLIMATE.DERIVED UTCI HISTORICAL,EU.COP.CLIMATE.DERIVED UTCI HISTORICAL,"['EU.COP.CLIMATE.DERIVED', 'UTCI', 'HISTORICAL']"
,eu.copernicus.climate.ecv-for-climate-change,EU.COPERNICUS.CLIMATE.ECV-FOR-CLIMATE-CHANGE,EU.COP.CLIMATE.ECV-FOR-CLIMATE-CHANGE,EU.COP.CLIMATE.ECV FOR CLIMATE CHANGE,EU.COP.CLIMATE.ECV FOR CLIMATE CHANGE,"['EU.COP.CLIMATE.ECV', 'FOR', 'CLIMATE', 'CHANGE']"
,eu.copernicus.climate.efas-forecast,EU.COPERNICUS.CLIMATE.EFAS-FORECAST,EU.COP.CLIMATE.EFAS-FORECAST,EU.COP.CLIMATE.EFAS FORECAST,EU.COP.CLIMATE.EFAS FORECAST,"['EU.COP.CLIMATE.EFAS', 'FORECAST']"
,eu.copernicus.climate.efas-historical,EU.COPERNICUS.CLIMATE.EFAS-HISTORICAL,EU.COP.CLIMATE.EFAS-HISTORICAL,EU.COP.CLIMATE.EFAS HISTORICAL,EU.COP.CLIMATE.EFAS HISTORICAL,"['EU.COP.CLIMATE.EFAS', 'HISTORICAL']"
,eu.copernicus.climate.efas-reforecast,EU.COPERNICUS.CLIMATE.EFAS-REFORECAST,EU.COP.CLIMATE.EFAS-REFORECAST,EU.COP.CLIMATE.EFAS REFORECAST,EU.COP.CLIMATE.EFAS REFORECAST,"['EU.COP.CLIMATE.EFAS', 'REFORECAST']"
,eu.copernicus.climate.efas-seasonal,EU.COPERNICUS.CLIMATE.EFAS-SEASONAL,EU.COP.CLIMATE.EFAS-SEASONAL,EU.COP.CLIMATE.EFAS SEASONAL,EU.COP.CLIMATE.EFAS SEASONAL,"['EU.COP.CLIMATE.EFAS', 'SEASONAL']"
,eu.copernicus.climate.efas-seasonal-reforecast,EU.COPERNICUS.CLIMATE.EFAS-SEASONAL-REFORECAST,EU.COP.CLIMATE.EFAS-SEASONAL-REFORECAST,EU.COP.CLIMATE.EFAS SEASONAL REFORECAST,EU.COP.CLIMATE.EFAS SEASONAL REFORECAST,"['EU.COP.CLIMATE.EFAS', 'SEASONAL', 'REFORECAST']"
,eu.copernicus.climate.insitu-glaciers-elevation-mass,EU.COPERNICUS.CLIMATE.INSITU-GLACIERS-ELEVATION-MASS,EU.COP.CLIMATE.INSITU-GLACIERS-ELEVATION-MASS,EU.COP.CLIMATE.INSITU GLACIERS ELEVATION MASS,EU.COP.CLIMATE.INSITU GLACIERS ELEVATION MASS,"['EU.COP.CLIMATE.INSITU', 'GLACIERS', 'ELEVATION', 'MASS']"
