id_dedl,original,upper,missions,unsep,rmstr,split
,49158da0-3c6c-11e2-81c1-0800200c9a66,49158DA0-3C6C-11E2-81C1-0800200C9A66,49158DA0-3C6C-11E2-81C1-0800200C9A66,49158DA0 3C6C 11E2 81C1 0800200C9A66,49158DA0 3C6C 11E2 81C1 0800200C9A66,"['49158DA0', '3C6C', '11E2', '81C1', '0800200C9A66']"
,49158da1-3c6c-11e2-81c1-0800200c9a66,49158DA1-3C6C-11E2-81C1-0800200C9A66,49158DA1-3C6C-11E2-81C1-0800200C9A66,49158DA1 3C6C 11E2 81C1 0800200C9A66,49158DA1 3C6C 11E2 81C1 0800200C9A66,"['49158DA1', '3C6C', '11E2', '81C1', '0800200C9A66']"
,49158da2-3c6c-11e2-81c1-0800200c9a66,49158DA2-3C6C-11E2-81C1-0800200C9A66,49158DA2-3C6C-11E2-81C1-0800200C9A66,49158DA2 3C6C 11E2 81C1 0800200C9A66,49158DA2 3C6C 11E2 81C1 0800200C9A66,"['49158DA2', '3C6C', '11E2', '81C1', '0800200C9A66']"
,49158da3-3c6c-11e2-81c1-0800200c9a66,49158DA3-3C6C-11E2-81C1-0800200C9A66,49158DA3-3C6C-11E2-81C1-0800200C9A66,49158DA3 3C6C 11E2 81C1 0800200C9A66,49158DA3 3C6C 11E2 81C1 0800200C9A66,"['49158DA3', '3C6C', '11E2', '81C1', '0800200C9A66']"
,848a1c10-830e-11e1-b0c4-0800200c9a6,848A1C10-830E-11E1-B0C4-0800200C9A6,848A1C10-830E-11E1-B0C4-0800200C9A6,848A1C10 830E 11E1 B0C4 0800200C9A6,848A1C10 830E 11E1 B0C4 0800200C9A6,"['848A1C10', '830E', '11E1', 'B0C4', '0800200C9A6']"
,94542540-a0a7-11e0-8264-0800200c9a66,94542540-A0A7-11E0-8264-0800200C9A66,94542540-A0A7-11E0-8264-0800200C9A66,94542540 A0A7 11E0 8264 0800200C9A66,94542540 A0A7 11E0 8264 0800200C9A66,"['94542540', 'A0A7', '11E0', '8264', '0800200C9A66']"
,96f64bd0-830e-11e1-b0c4-0800200c9a66,96F64BD0-830E-11E1-B0C4-0800200C9A66,96F64BD0-830E-11E1-B0C4-0800200C9A66,96F64BD0 830E 11E1 B0C4 0800200C9A66,96F64BD0 830E 11E1 B0C4 0800200C9A66,"['96F64BD0', '830E', '11E1', 'B0C4', '0800200C9A66']"
,EO:VITO:gl2:bp01:ndvi:continents,EO:VITO:GL2:BP01:NDVI:CONTINENTS,EO:VITO:GL2:BP01:NDVI:CONTINENTS,EO VITO GL2 BP01 NDVI CONTINENTS, CLMS GL2 BP01 NDVI CONTINENTS,"['', 'CLMS', 'GL2', 'BP01', 'NDVI', 'CONTINENTS']"
,EO:VITO:gl2:bp01:ndvi:tiles,EO:VITO:GL2:BP01:NDVI:TILES,EO:VITO:GL2:BP01:NDVI:TILES,EO VITO GL2 BP01 NDVI TILES, CLMS GL2 BP01 NDVI TILES,"['', 'CLMS', 'GL2', 'BP01', 'NDVI', 'TILES']"
,EO:VITO:gl2:bp02:BA:continents,EO:VITO:GL2:BP02:BA:CONTINENTS,EO:VITO:GL2:BP02:BA:CONTINENTS,EO VITO GL2 BP02 BA CONTINENTS, CLMS GL2 BP02 BA CONTINENTS,"['', 'CLMS', 'GL2', 'BP02', 'BA', 'CONTINENTS']"
,EO:VITO:gl2:bp02:BA:tiles,EO:VITO:GL2:BP02:BA:TILES,EO:VITO:GL2:BP02:BA:TILES,EO VITO GL2 BP02 BA TILES, CLMS GL2 BP02 BA TILES,"['', 'CLMS', 'GL2', 'BP02', 'BA', 'TILES']"
,EO:VITO:gl2:bp05:VCI:continents,EO:VITO:GL2:BP05:VCI:CONTINENTS,EO:VITO:GL2:BP05:VCI:CONTINENTS,EO VITO GL2 BP05 VCI CONTINENTS, CLMS GL2 BP05 VCI CONTINENTS,"['', 'CLMS', 'GL2', 'BP05', 'VCI', 'CONTINENTS']"
,EO:VITO:gl2:bp05:VCI:tiles,EO:VITO:GL2:BP05:VCI:TILES,EO:VITO:GL2:BP05:VCI:TILES,EO VITO GL2 BP05 VCI TILES, CLMS GL2 BP05 VCI TILES,"['', 'CLMS', 'GL2', 'BP05', 'VCI', 'TILES']"
,EO:VITO:gl2:bp05:VPI:continents,EO:VITO:GL2:BP05:VPI:CONTINENTS,EO:VITO:GL2:BP05:VPI:CONTINENTS,EO VITO GL2 BP05 VPI CONTINENTS, CLMS GL2 BP05 VPI CONTINENTS,"['', 'CLMS', 'GL2', 'BP05', 'VPI', 'CONTINENTS']"
,EO:VITO:gl2:bp05:VPI:tiles,EO:VITO:GL2:BP05:VPI:TILES,EO:VITO:GL2:BP05:VPI:TILES,EO VITO GL2 BP05 VPI TILES, CLMS GL2 BP05 VPI TILES,"['', 'CLMS', 'GL2', 'BP05', 'VPI', 'TILES']"
,fa414900-a0a7-11e0-8264-0800200c9a66,FA414900-A0A7-11E0-8264-0800200C9A66,FA414900-A0A7-11E0-8264-0800200C9A66,FA414900 A0A7 11E0 8264 0800200C9A66,FA414900 A0A7 11E0 8264 0800200C9A66,"['FA414900', 'A0A7', '11E0', '8264', '0800200C9A66']"
,urn:cgls:continents:lie_v1_250m,URN:CGLS:CONTINENTS:LIE_V1_250M,URN:CGLS:CONTINENTS:LIE_V1_250M,URN CGLS CONTINENTS LIE V1 250M,CLMS CONTINENTS LIE V1 250M,"['CLMS', 'CONTINENTS', 'LIE', 'V1', '250M']"
,urn:cgls:continents:sce500_v1_0.005degree,URN:CGLS:CONTINENTS:SCE500_V1_0.005DEGREE,URN:CGLS:CONTINENTS:SCE500_V1_0.005DEGREE,URN CGLS CONTINENTS SCE500 V1 0.005DEGREE,CLMS CONTINENTS SCE500 V1 0.005DEGREE,"['CLMS', 'CONTINENTS', 'SCE500', 'V1', '0.005DEGREE']"
,urn:cgls:continents:wb_v1_1km,URN:CGLS:CONTINENTS:WB_V1_1KM,URN:CGLS:CONTINENTS:WB_V1_1KM,URN CGLS CONTINENTS WB V1 1KM,CLMS CONTINENTS WB V1 1KM,"['CLMS', 'CONTINENTS', 'WB', 'V1', '1KM']"
,urn:cgls:global:albh_v1_1km,URN:CGLS:GLOBAL:ALBH_V1_1KM,URN:CGLS:GLOBAL:ALBH_V1_1KM,URN CGLS GLOBAL ALBH V1 1KM,CLMS GLOBAL ALBH V1 1KM,"['CLMS', 'GLOBAL', 'ALBH', 'V1', '1KM']"
