id_dedl,original,upper,missions,unsep,rmstr,split
,0098a856-7401-46c2-9f7a-a2e5c0cf899c,0098A856-7401-46C2-9F7A-A2E5C0CF899C,0098A856-7401-46C2-9F7A-A2E5C0CF899C,0098A856 7401 46C2 9F7A A2E5C0CF899C,0098A856 7401 46C2 9F7A A2E5C0CF899C,"['0098A856', '7401', '46C2', '9F7A', 'A2E5C0CF899C']"
,00ee7e86-0611-42d8-be16-5e9de12ee8c6,00EE7E86-0611-42D8-BE16-5E9DE12EE8C6,00EE7E86-0611-42D8-BE16-5E9DE12EE8C6,00EE7E86 0611 42D8 BE16 5E9DE12EE8C6,00EE7E86 0611 42D8 BE16 5E9DE12EE8C6,"['00EE7E86', '0611', '42D8', 'BE16', '5E9DE12EE8C6']"
,032a68ec-d82f-432c-90d6-80ea0bf7d418,032A68EC-D82F-432C-90D6-80EA0BF7D418,032A68EC-D82F-432C-90D6-80EA0BF7D418,032A68EC D82F 432C 90D6 80EA0BF7D418,032A68EC D82F 432C 90D6 80EA0BF7D418,"['032A68EC', 'D82F', '432C', '90D6', '80EA0BF7D418']"
,03e6da65-817c-48c7-9d79-ac5d33bab289,03E6DA65-817C-48C7-9D79-AC5D33BAB289,03E6DA65-817C-48C7-9D79-AC5D33BAB289,03E6DA65 817C 48C7 9D79 AC5D33BAB289,03E6DA65 817C 48C7 9D79 AC5D33BAB289,"['03E6DA65', '817C', '48C7', '9D79', 'AC5D33BAB289']"
,04ba7a36-07be-48df-bafa-40a08f2d631d,04BA7A36-07BE-48DF-BAFA-40A08F2D631D,04BA7A36-07BE-48DF-BAFA-40A08F2D631D,04BA7A36 07BE 48DF BAFA 40A08F2D631D,04BA7A36 07BE 48DF BAFA 40A08F2D631D,"['04BA7A36', '07BE', '48DF', 'BAFA', '40A08F2D631D']"
,04c285a9-ad0e-47e0-8342-f831439fc0d7,04C285A9-AD0E-47E0-8342-F831439FC0D7,04C285A9-AD0E-47E0-8342-F831439FC0D7,04C285A9 AD0E 47E0 8342 F831439FC0D7,04C285A9 AD0E 47E0 8342 F831439FC0D7,"['04C285A9', 'AD0E', '47E0', '8342', 'F831439FC0D7']"
,056be369-20b9-4fb0-9bd0-e6217e45691f,056BE369-20B9-4FB0-9BD0-E6217E45691F,056BE369-20B9-4FB0-9BD0-E6217E45691F,056BE369 20B9 4FB0 9BD0 E6217E45691F,056BE369 20B9 4FB0 9BD0 E6217E45691F,"['056BE369', '20B9', '4FB0', '9BD0', 'E6217E45691F']"
,05e2480d-9c97-4ef1-add5-275be67074a8,05E2480D-9C97-4EF1-ADD5-275BE67074A8,05E2480D-9C97-4EF1-ADD5-275BE67074A8,05E2480D 9C97 4EF1 ADD5 275BE67074A8,05E2480D 9C97 4EF1 ADD5 275BE67074A8,"['05E2480D', '9C97', '4EF1', 'ADD5', '275BE67074A8']"
,073ad8db-cd08-47a1-bd5b-9374eae70b6b,073AD8DB-CD08-47A1-BD5B-9374EAE70B6B,073AD8DB-CD08-47A1-BD5B-9374EAE70B6B,073AD8DB CD08 47A1 BD5B 9374EAE70B6B,073AD8DB CD08 47A1 BD5B 9374EAE70B6B,"['073AD8DB', 'CD08', '47A1', 'BD5B', '9374EAE70B6B']"
,0872859e-36bc-4480-82f3-876f737190cb,0872859E-36BC-4480-82F3-876F737190CB,0872859E-36BC-4480-82F3-876F737190CB,0872859E 36BC 4480 82F3 876F737190CB,0872859E 36BC 4480 82F3 876F737190CB,"['0872859E', '36BC', '4480', '82F3', '876F737190CB']"
,08cce75a-44cb-49f4-91ad-9d71b438eb71,08CCE75A-44CB-49F4-91AD-9D71B438EB71,08CCE75A-44CB-49F4-91AD-9D71B438EB71,08CCE75A 44CB 49F4 91AD 9D71B438EB71,08CCE75A 44CB 49F4 91AD 9D71B438EB71,"['08CCE75A', '44CB', '49F4', '91AD', '9D71B438EB71']"
,092e4075-ec9d-4a4a-b8ca-6f988ff27834,092E4075-EC9D-4A4A-B8CA-6F988FF27834,092E4075-EC9D-4A4A-B8CA-6F988FF27834,092E4075 EC9D 4A4A B8CA 6F988FF27834,092E4075 EC9D 4A4A B8CA 6F988FF27834,"['092E4075', 'EC9D', '4A4A', 'B8CA', '6F988FF27834']"
,0a1cf029-1a8e-4ac0-9d96-95060065e3e8,0A1CF029-1A8E-4AC0-9D96-95060065E3E8,0A1CF029-1A8E-4AC0-9D96-95060065E3E8,0A1CF029 1A8E 4AC0 9D96 95060065E3E8,0A1CF029 1A8E 4AC0 9D96 95060065E3E8,"['0A1CF029', '1A8E', '4AC0', '9D96', '95060065E3E8']"
,0a5db440-d278-47a6-8885-b89aabb3f0b3,0A5DB440-D278-47A6-8885-B89AABB3F0B3,0A5DB440-D278-47A6-8885-B89AABB3F0B3,0A5DB440 D278 47A6 8885 B89AABB3F0B3,0A5DB440 D278 47A6 8885 B89AABB3F0B3,"['0A5DB440', 'D278', '47A6', '8885', 'B89AABB3F0B3']"
