id_dedl,original,upper,missions,unsep,rmstr,split
,COP-DEM,COP-DEM,COP-DEM,COP DEM,COP DEM,"['COP', 'DEM']"
,ENVISAT,ENVISAT,ENVISAT,ENVISAT,ENVISAT,['ENVISAT']
,LANDSAT-5,LANDSAT-5,LANDSAT5,LANDSAT5,LANDSAT5,['LANDSAT5']
,LANDSAT-7,LANDSAT-7,LANDSAT7,LANDSAT7,LANDSAT7,['LANDSAT7']
,LANDSAT-8,LANDSAT-8,LANDSAT8,LANDSAT8,LANDSAT8,['LANDSAT8']
,S2GLC,S2GLC,SENTINEL2GLC,SENTINEL2GLC,SENTINEL2GLC,['SENTINEL2GLC']
,SENTINEL-1,SENTINEL-1,SENTINEL1,SENTINEL1,SENTINEL1,['SENTINEL1']
,SENTINEL-1-RTC,SENTINEL-1-RTC,SENTINEL1-RTC,SENTINEL1 RTC,SENTINEL1 RTC,"['SENTINEL1', 'RTC']"
,SENTINEL-2,SENTINEL-2,SENTINEL2,SENTINEL2,SENTINEL2,['SENTINEL2']
,SENTINEL-3,SENTINEL-3,SENTINEL3,SENTINEL3,SENTINEL3,['SENTINEL3']
,SENTINEL-5P,SENTINEL-5P,SENTINEL5P,SENTINEL5P,SENTINEL5P,['SENTINEL5P']
,SENTINEL-6,SENTINEL-6,SENTINEL6,SENTINEL6,SENTINEL6,['SENTINEL6']
,SMOS,SMOS,SMOS,SMOS,SMOS,['SMOS']
,TERRAAQUA,TERRAAQUA,TERRAAQUA,TERRAAQUA,TERRAAQUA,['TERRAAQUA']
