id_dedl,original,upper,missions,unsep,rmstr,split
,02741372-8b9a-4469-a169-773a098812cf,02741372-8B9A-4469-A169-773A098812CF,02741372-8B9A-4469-A169-773A098812CF,02741372 8B9A 4469 A169 773A098812CF,02741372 8B9A 4469 A169 773A098812CF,"['02741372', '8B9A', '4469', 'A169', '773A098812CF']"
,047f71ee-dec6-4c7b-8044-7a153c025588,047F71EE-DEC6-4C7B-8044-7A153C025588,047F71EE-DEC6-4C7B-8044-7A153C025588,047F71EE DEC6 4C7B 8044 7A153C025588,047F71EE DEC6 4C7B 8044 7A153C025588,"['047F71EE', 'DEC6', '4C7B', '8044', '7A153C025588']"
,06c3dcab-77bd-462b-b19e-32ac72d9155d,06C3DCAB-77BD-462B-B19E-32AC72D9155D,06C3DCAB-77BD-462B-B19E-32AC72D9155D,06C3DCAB 77BD 462B B19E 32AC72D9155D,06C3DCAB 77BD 462B B19E 32AC72D9155D,"['06C3DCAB', '77BD', '462B', 'B19E', '32AC72D9155D']"
,0719ab41-814f-4598-8dc1-e8096856b9ca,0719AB41-814F-4598-8DC1-E8096856B9CA,0719AB41-814F-4598-8DC1-E8096856B9CA,0719AB41 814F 4598 8DC1 E8096856B9CA,0719AB41 814F 4598 8DC1 E8096856B9CA,"['0719AB41', '814F', '4598', '8DC1', 'E8096856B9CA']"
,080f0101-b60a-45c8-810f-90b21d36d64c,080F0101-B60A-45C8-810F-90B21D36D64C,080F0101-B60A-45C8-810F-90B21D36D64C,080F0101 B60A 45C8 810F 90B21D36D64C,080F0101 B60A 45C8 810F 90B21D36D64C,"['080F0101', 'B60A', '45C8', '810F', '90B21D36D64C']"
,08560441-2fd5-4eb9-bf4c-9ef16725726a,08560441-2FD5-4EB9-BF4C-9EF16725726A,08560441-2FD5-4EB9-BF4C-9EF16725726A,08560441 2FD5 4EB9 BF4C 9EF16725726A,08560441 2FD5 4EB9 BF4C 9EF16725726A,"['08560441', '2FD5', '4EB9', 'BF4C', '9EF16725726A']"
,08b8793b-2815-4902-9163-d353baeb7c96,08B8793B-2815-4902-9163-D353BAEB7C96,08B8793B-2815-4902-9163-D353BAEB7C96,08B8793B 2815 4902 9163 D353BAEB7C96,08B8793B 2815 4902 9163 D353BAEB7C96,"['08B8793B', '2815', '4902', '9163', 'D353BAEB7C96']"
,0a94b5d4-b414-4f2b-a6be-eea73094a0f5,0A94B5D4-B414-4F2B-A6BE-EEA73094A0F5,0A94B5D4-B414-4F2B-A6BE-EEA73094A0F5,0A94B5D4 B414 4F2B A6BE EEA73094A0F5,0A94B5D4 B414 4F2B A6BE EEA73094A0F5,"['0A94B5D4', 'B414', '4F2B', 'A6BE', 'EEA73094A0F5']"
,0ab52ae4-eeb5-47b8-9ac3-ad518cbef455,0AB52AE4-EEB5-47B8-9AC3-AD518CBEF455,0AB52AE4-EEB5-47B8-9AC3-AD518CBEF455,0AB52AE4 EEB5 47B8 9AC3 AD518CBEF455,0AB52AE4 EEB5 47B8 9AC3 AD518CBEF455,"['0AB52AE4', 'EEB5', '47B8', '9AC3', 'AD518CBEF455']"
,0c73bf39-37c5-4017-8fc0-5489cfcfddc2,0C73BF39-37C5-4017-8FC0-5489CFCFDDC2,0C73BF39-37C5-4017-8FC0-5489CFCFDDC2,0C73BF39 37C5 4017 8FC0 5489CFCFDDC2,0C73BF39 37C5 4017 8FC0 5489CFCFDDC2,"['0C73BF39', '37C5', '4017', '8FC0', '5489CFCFDDC2']"
,0ed58e4f-2f9c-426c-aead-d78ad7fd375a,0ED58E4F-2F9C-426C-AEAD-D78AD7FD375A,0ED58E4F-2F9C-426C-AEAD-D78AD7FD375A,0ED58E4F 2F9C 426C AEAD D78AD7FD375A,0ED58E4F 2F9C 426C AEAD D78AD7FD375A,"['0ED58E4F', '2F9C', '426C', 'AEAD', 'D78AD7FD375A']"
,1003d7ae-bb0b-4828-bccf-0093134b094c,1003D7AE-BB0B-4828-BCCF-0093134B094C,1003D7AE-BB0B-4828-BCCF-0093134B094C,1003D7AE BB0B 4828 BCCF 0093134B094C,1003D7AE BB0B 4828 BCCF 0093134B094C,"['1003D7AE', 'BB0B', '4828', 'BCCF', '0093134B094C']"
,109c92a4-e9a0-4d87-895c-02df9f241b59,109C92A4-E9A0-4D87-895C-02DF9F241B59,109C92A4-E9A0-4D87-895C-02DF9F241B59,109C92A4 E9A0 4D87 895C 02DF9F241B59,109C92A4 E9A0 4D87 895C 02DF9F241B59,"['109C92A4', 'E9A0', '4D87', '895C', '02DF9F241B59']"
,11db8d14-f167-4cd5-9205-95638dfd9618,11DB8D14-F167-4CD5-9205-95638DFD9618,11DB8D14-F167-4CD5-9205-95638DFD9618,11DB8D14 F167 4CD5 9205 95638DFD9618,11DB8D14 F167 4CD5 9205 95638DFD9618,"['11DB8D14', 'F167', '4CD5', '9205', '95638DFD9618']"
,11e54513-eaee-407b-8f0a-4f321cbf9974,11E54513-EAEE-407B-8F0A-4F321CBF9974,11E54513-EAEE-407B-8F0A-4F321CBF9974,11E54513 EAEE 407B 8F0A 4F321CBF9974,11E54513 EAEE 407B 8F0A 4F321CBF9974,"['11E54513', 'EAEE', '407B', '8F0A', '4F321CBF9974']"
,123d0c9a-a6fa-4f2d-b887-5d8e5468faed,123D0C9A-A6FA-4F2D-B887-5D8E5468FAED,123D0C9A-A6FA-4F2D-B887-5D8E5468FAED,123D0C9A A6FA 4F2D B887 5D8E5468FAED,123D0C9A A6FA 4F2D B887 5D8E5468FAED,"['123D0C9A', 'A6FA', '4F2D', 'B887', '5D8E5468FAED']"
,135a19fd-f799-44d7-bbd0-30ccade42553,135A19FD-F799-44D7-BBD0-30CCADE42553,135A19FD-F799-44D7-BBD0-30CCADE42553,135A19FD F799 44D7 BBD0 30CCADE42553,135A19FD F799 44D7 BBD0 30CCADE42553,"['135A19FD', 'F799', '44D7', 'BBD0', '30CCADE42553']"
,13c2cc2f-3cea-4d83-8496-c635f68f7f91,13C2CC2F-3CEA-4D83-8496-C635F68F7F91,13C2CC2F-3CEA-4D83-8496-C635F68F7F91,13C2CC2F 3CEA 4D83 8496 C635F68F7F91,13C2CC2F 3CEA 4D83 8496 C635F68F7F91,"['13C2CC2F', '3CEA', '4D83', '8496', 'C635F68F7F91']"
,1438a2d6-ec0b-4df4-a8c4-ce83b135bfa3,1438A2D6-EC0B-4DF4-A8C4-CE83B135BFA3,1438A2D6-EC0B-4DF4-A8C4-CE83B135BFA3,1438A2D6 EC0B 4DF4 A8C4 CE83B135BFA3,1438A2D6 EC0B 4DF4 A8C4 CE83B135BFA3,"['1438A2D6', 'EC0B', '4DF4', 'A8C4', 'CE83B135BFA3']"
,14c9a652-cf8e-45cb-89fd-5bc5a2bd1d5d,14C9A652-CF8E-45CB-89FD-5BC5A2BD1D5D,14C9A652-CF8E-45CB-89FD-5BC5A2BD1D5D,14C9A652 CF8E 45CB 89FD 5BC5A2BD1D5D,14C9A652 CF8E 45CB 89FD 5BC5A2BD1D5D,"['14C9A652', 'CF8E', '45CB', '89FD', '5BC5A2BD1D5D']"
,15c54e0c-6b5f-4a9f-9d8d-12003136c0fd,15C54E0C-6B5F-4A9F-9D8D-12003136C0FD,15C54E0C-6B5F-4A9F-9D8D-12003136C0FD,15C54E0C 6B5F 4A9F 9D8D 12003136C0FD,15C54E0C 6B5F 4A9F 9D8D 12003136C0FD,"['15C54E0C', '6B5F', '4A9F', '9D8D', '12003136C0FD']"
,17ab2088-6907-470f-90b6-8c1364865803,17AB2088-6907-470F-90B6-8C1364865803,17AB2088-6907-470F-90B6-8C1364865803,17AB2088 6907 470F 90B6 8C1364865803,17AB2088 6907 470F 90B6 8C1364865803,"['17AB2088', '6907', '470F', '90B6', '8C1364865803']"
,17b26358-df10-4def-9991-fb395ce64933,17B26358-DF10-4DEF-9991-FB395CE64933,17B26358-DF10-4DEF-9991-FB395CE64933,17B26358 DF10 4DEF 9991 FB395CE64933,17B26358 DF10 4DEF 9991 FB395CE64933,"['17B26358', 'DF10', '4DEF', '9991', 'FB395CE64933']"
,19cff95e-61ac-45ed-8ee3-c43220d709cf,19CFF95E-61AC-45ED-8EE3-C43220D709CF,19CFF95E-61AC-45ED-8EE3-C43220D709CF,19CFF95E 61AC 45ED 8EE3 C43220D709CF,19CFF95E 61AC 45ED 8EE3 C43220D709CF,"['19CFF95E', '61AC', '45ED', '8EE3', 'C43220D709CF']"
,19de0c87-3f65-4922-aa81-7b3e339a9c0c,19DE0C87-3F65-4922-AA81-7B3E339A9C0C,19DE0C87-3F65-4922-AA81-7B3E339A9C0C,19DE0C87 3F65 4922 AA81 7B3E339A9C0C,19DE0C87 3F65 4922 AA81 7B3E339A9C0C,"['19DE0C87', '3F65', '4922', 'AA81', '7B3E339A9C0C']"
,1aeea29f-cea2-4494-af80-789a038a87b8,1AEEA29F-CEA2-4494-AF80-789A038A87B8,1AEEA29F-CEA2-4494-AF80-789A038A87B8,1AEEA29F CEA2 4494 AF80 789A038A87B8,1AEEA29F CEA2 4494 AF80 789A038A87B8,"['1AEEA29F', 'CEA2', '4494', 'AF80', '789A038A87B8']"
,1bd26e8f-8ea0-45e0-b6bf-9ed2baff5d28,1BD26E8F-8EA0-45E0-B6BF-9ED2BAFF5D28,1BD26E8F-8EA0-45E0-B6BF-9ED2BAFF5D28,1BD26E8F 8EA0 45E0 B6BF 9ED2BAFF5D28,1BD26E8F 8EA0 45E0 B6BF 9ED2BAFF5D28,"['1BD26E8F', '8EA0', '45E0', 'B6BF', '9ED2BAFF5D28']"
