id_dedl,original,upper,missions,unsep,rmstr,split
,EO:EUM:CM:METOP:ASCSZFR02,EO:EUM:CM:METOP:ASCSZFR02,EO:EUM:CM:METOP:ASCSZFR02,EO EUM CM METOP ASCSZFR02, EUM CM METOP ASCSZFR02,"['', 'EUM', 'CM', 'METOP', 'ASCSZFR02']"
,EO:EUM:CM:METOP:ASCSZOR02,EO:EUM:CM:METOP:ASCSZOR02,EO:EUM:CM:METOP:ASCSZOR02,EO EUM CM METOP ASCSZOR02, EUM CM METOP ASCSZOR02,"['', 'EUM', 'CM', 'METOP', 'ASCSZOR02']"
,EO:EUM:CM:METOP:ASCSZRR02,EO:EUM:CM:METOP:ASCSZRR02,EO:EUM:CM:METOP:ASCSZRR02,EO EUM CM METOP ASCSZRR02, EUM CM METOP ASCSZRR02,"['', 'EUM', 'CM', 'METOP', 'ASCSZRR02']"
,EO:EUM:DAT:0023,EO:EUM:DAT:0023,EO:EUM:DAT:0023,EO EUM DAT 0023, EUM  0023,"['', 'EUM', '', '0023']"
,EO:EUM:DAT:0026,EO:EUM:DAT:0026,EO:EUM:DAT:0026,EO EUM DAT 0026, EUM  0026,"['', 'EUM', '', '0026']"
,EO:EUM:DAT:0027,EO:EUM:DAT:0027,EO:EUM:DAT:0027,EO EUM DAT 0027, EUM  0027,"['', 'EUM', '', '0027']"
,EO:EUM:DAT:0028,EO:EUM:DAT:0028,EO:EUM:DAT:0028,EO EUM DAT 0028, EUM  0028,"['', 'EUM', '', '0028']"
,EO:EUM:DAT:0080,EO:EUM:DAT:0080,EO:EUM:DAT:0080,EO EUM DAT 0080, EUM  0080,"['', 'EUM', '', '0080']"
,EO:EUM:DAT:0081,EO:EUM:DAT:0081,EO:EUM:DAT:0081,EO EUM DAT 0081, EUM  0081,"['', 'EUM', '', '0081']"
,EO:EUM:DAT:0082,EO:EUM:DAT:0082,EO:EUM:DAT:0082,EO EUM DAT 0082, EUM  0082,"['', 'EUM', '', '0082']"
,EO:EUM:DAT:0154,EO:EUM:DAT:0154,EO:EUM:DAT:0154,EO EUM DAT 0154, EUM  0154,"['', 'EUM', '', '0154']"
,EO:EUM:DAT:0156,EO:EUM:DAT:0156,EO:EUM:DAT:0156,EO EUM DAT 0156, EUM  0156,"['', 'EUM', '', '0156']"
,EO:EUM:DAT:0158,EO:EUM:DAT:0158,EO:EUM:DAT:0158,EO EUM DAT 0158, EUM  0158,"['', 'EUM', '', '0158']"
,EO:EUM:DAT:0160,EO:EUM:DAT:0160,EO:EUM:DAT:0160,EO EUM DAT 0160, EUM  0160,"['', 'EUM', '', '0160']"
,EO:EUM:DAT:0162,EO:EUM:DAT:0162,EO:EUM:DAT:0162,EO EUM DAT 0162, EUM  0162,"['', 'EUM', '', '0162']"
,EO:EUM:DAT:0164,EO:EUM:DAT:0164,EO:EUM:DAT:0164,EO EUM DAT 0164, EUM  0164,"['', 'EUM', '', '0164']"
,EO:EUM:DAT:0166,EO:EUM:DAT:0166,EO:EUM:DAT:0166,EO EUM DAT 0166, EUM  0166,"['', 'EUM', '', '0166']"
,EO:EUM:DAT:0168,EO:EUM:DAT:0168,EO:EUM:DAT:0168,EO EUM DAT 0168, EUM  0168,"['', 'EUM', '', '0168']"
,EO:EUM:DAT:0171,EO:EUM:DAT:0171,EO:EUM:DAT:0171,EO EUM DAT 0171, EUM  0171,"['', 'EUM', '', '0171']"
