id_dedl,original,upper,missions,unsep,rmstr,split
,ADO_CORINE_100m_3035,ADO_CORINE_100M_3035,ADO_CORINE_100M_3035,ADO CORINE 100M 3035,ADO CORINE 100M 3035,"['ADO', 'CORINE', '100M', '3035']"
,ADO_CORINE_100m_3035_ODC,ADO_CORINE_100M_3035_ODC,ADO_CORINE_100M_3035_ODC,ADO CORINE 100M 3035 ODC,ADO CORINE 100M 3035 ODC,"['ADO', 'CORINE', '100M', '3035', 'ODC']"
,ADO_EU_DEM_25m_3035,ADO_EU_DEM_25M_3035,ADO_EU_DEM_25M_3035,ADO EU DEM 25M 3035,ADO EU DEM 25M 3035,"['ADO', 'EU', 'DEM', '25M', '3035']"
,ADO_EVAP_ET_MOD16_500m_3035,ADO_EVAP_ET_MOD16_500M_3035,ADO_EVAP_ET_MOD16_500M_3035,ADO EVAP ET MOD16 500M 3035,ADO EVAP ET MOD16 500M 3035,"['ADO', 'EVAP', 'ET', 'MOD16', '500M', '3035']"
,ADO_EVAP_SSEBOP_1km_4326,ADO_EVAP_SSEBOP_1KM_4326,ADO_EVAP_SSEBOP_1KM_4326,ADO EVAP SSEBOP 1KM 4326,ADO EVAP SSEBOP 1KM 4326,"['ADO', 'EVAP', 'SSEBOP', '1KM', '4326']"
,ADO_LST_MODIS_231m_3035,ADO_LST_MODIS_231M_3035,ADO_LST_MODIS_231M_3035,ADO LST MODIS 231M 3035,ADO LST MODIS 231M 3035,"['ADO', 'LST', 'MODIS', '231M', '3035']"
,ADO_LST_MODIS_231m_3035_ODC,ADO_LST_MODIS_231M_3035_ODC,ADO_LST_MODIS_231M_3035_ODC,ADO LST MODIS 231M 3035 ODC,ADO LST MODIS 231M 3035 ODC,"['ADO', 'LST', 'MODIS', '231M', '3035', 'ODC']"
,ADO_NDVI_MODIS_231m_3035,ADO_NDVI_MODIS_231M_3035,ADO_NDVI_MODIS_231M_3035,ADO NDVI MODIS 231M 3035,ADO NDVI MODIS 231M 3035,"['ADO', 'NDVI', 'MODIS', '231M', '3035']"
,ADO_NDVI_MODIS_231m_3035_ODC,ADO_NDVI_MODIS_231M_3035_ODC,ADO_NDVI_MODIS_231M_3035_ODC,ADO NDVI MODIS 231M 3035 ODC,ADO NDVI MODIS 231M 3035 ODC,"['ADO', 'NDVI', 'MODIS', '231M', '3035', 'ODC']"
,ADO_REL_RR_12_ERA5_QM,ADO_REL_RR_12_ERA5_QM,ADO_REL_RR_12_ERA5_QM,ADO REL RR 12 ERA5 QM,ADO REL RR 12 ERA5 QM,"['ADO', 'REL', 'RR', '12', 'ERA5', 'QM']"
,ADO_REL_RR_12_ERA5_QM_ODC,ADO_REL_RR_12_ERA5_QM_ODC,ADO_REL_RR_12_ERA5_QM_ODC,ADO REL RR 12 ERA5 QM ODC,ADO REL RR 12 ERA5 QM ODC,"['ADO', 'REL', 'RR', '12', 'ERA5', 'QM', 'ODC']"
,ADO_REL_RR_1_ERA5_QM,ADO_REL_RR_1_ERA5_QM,ADO_REL_RR_1_ERA5_QM,ADO REL RR 1 ERA5 QM,ADO REL RR 1 ERA5 QM,"['ADO', 'REL', 'RR', '1', 'ERA5', 'QM']"
,ADO_REL_RR_1_ERA5_QM_ODC,ADO_REL_RR_1_ERA5_QM_ODC,ADO_REL_RR_1_ERA5_QM_ODC,ADO REL RR 1 ERA5 QM ODC,ADO REL RR 1 ERA5 QM ODC,"['ADO', 'REL', 'RR', '1', 'ERA5', 'QM', 'ODC']"
,ADO_REL_RR_2_ERA5_QM,ADO_REL_RR_2_ERA5_QM,ADO_REL_RR_2_ERA5_QM,ADO REL RR 2 ERA5 QM,ADO REL RR 2 ERA5 QM,"['ADO', 'REL', 'RR', '2', 'ERA5', 'QM']"
,ADO_REL_RR_2_ERA5_QM_ODC,ADO_REL_RR_2_ERA5_QM_ODC,ADO_REL_RR_2_ERA5_QM_ODC,ADO REL RR 2 ERA5 QM ODC,ADO REL RR 2 ERA5 QM ODC,"['ADO', 'REL', 'RR', '2', 'ERA5', 'QM', 'ODC']"
,ADO_REL_RR_3_ERA5_QM,ADO_REL_RR_3_ERA5_QM,ADO_REL_RR_3_ERA5_QM,ADO REL RR 3 ERA5 QM,ADO REL RR 3 ERA5 QM,"['ADO', 'REL', 'RR', '3', 'ERA5', 'QM']"
,ADO_REL_RR_3_ERA5_QM_ODC,ADO_REL_RR_3_ERA5_QM_ODC,ADO_REL_RR_3_ERA5_QM_ODC,ADO REL RR 3 ERA5 QM ODC,ADO REL RR 3 ERA5 QM ODC,"['ADO', 'REL', 'RR', '3', 'ERA5', 'QM', 'ODC']"
,ADO_REL_RR_6_ERA5_QM,ADO_REL_RR_6_ERA5_QM,ADO_REL_RR_6_ERA5_QM,ADO REL RR 6 ERA5 QM,ADO REL RR 6 ERA5 QM,"['ADO', 'REL', 'RR', '6', 'ERA5', 'QM']"
,ADO_REL_RR_6_ERA5_QM_ODC,ADO_REL_RR_6_ERA5_QM_ODC,ADO_REL_RR_6_ERA5_QM_ODC,ADO REL RR 6 ERA5 QM ODC,ADO REL RR 6 ERA5 QM ODC,"['ADO', 'REL', 'RR', '6', 'ERA5', 'QM', 'ODC']"
,ADO_SM_anomalies_ERA5,ADO_SM_ANOMALIES_ERA5,ADO_SM_ANOMALIES_ERA5,ADO SM ANOMALIES ERA5,ADO SM ANOMALIES ERA5,"['ADO', 'SM', 'ANOMALIES', 'ERA5']"
,ADO_SPEI_12_ERA5_QM,ADO_SPEI_12_ERA5_QM,ADO_SPEI_12_ERA5_QM,ADO SPEI 12 ERA5 QM,ADO SPEI 12 ERA5 QM,"['ADO', 'SPEI', '12', 'ERA5', 'QM']"
,ADO_SPEI_12_ERA5_QM_ODC,ADO_SPEI_12_ERA5_QM_ODC,ADO_SPEI_12_ERA5_QM_ODC,ADO SPEI 12 ERA5 QM ODC,ADO SPEI 12 ERA5 QM ODC,"['ADO', 'SPEI', '12', 'ERA5', 'QM', 'ODC']"
,ADO_SPEI_1_ERA5_QM,ADO_SPEI_1_ERA5_QM,ADO_SPEI_1_ERA5_QM,ADO SPEI 1 ERA5 QM,ADO SPEI 1 ERA5 QM,"['ADO', 'SPEI', '1', 'ERA5', 'QM']"
,ADO_SPEI_1_ERA5_QM_ODC,ADO_SPEI_1_ERA5_QM_ODC,ADO_SPEI_1_ERA5_QM_ODC,ADO SPEI 1 ERA5 QM ODC,ADO SPEI 1 ERA5 QM ODC,"['ADO', 'SPEI', '1', 'ERA5', 'QM', 'ODC']"
