id_dedl,original,upper,missions,unsep,rmstr,split
,AAFC/ACI,AAFC/ACI,AAFC/ACI,AAFC/ACI,AAFC/ACI,['AAFC/ACI']
,ACA/reef_habitat/v1_0,ACA/REEF_HABITAT/V1_0,ACA/REEF_HABITAT/V1_0,ACA/REEF HABITAT/V1 0,ACA/REEF HABITAT/V1 0,"['ACA/REEF', 'HABITAT/V1', '0']"
,ACA/reef_habitat/v2_0,ACA/REEF_HABITAT/V2_0,ACA/REEF_HABITAT/V2_0,ACA/REEF HABITAT/V2 0,ACA/REEF HABITAT/V2 0,"['ACA/REEF', 'HABITAT/V2', '0']"
,AHN/AHN2_05M_INT,AHN/AHN2_05M_INT,AHN/AHN2_05M_INT,AHN/AHN2 05M INT,AHN/AHN2 05M INT,"['AHN/AHN2', '05M', 'INT']"
,AHN/AHN2_05M_NON,AHN/AHN2_05M_NON,AHN/AHN2_05M_NON,AHN/AHN2 05M NON,AHN/AHN2 05M NON,"['AHN/AHN2', '05M', 'NON']"
,AHN/AHN2_05M_RUW,AHN/AHN2_05M_RUW,AHN/AHN2_05M_RUW,AHN/AHN2 05M RUW,AHN/AHN2 05M RUW,"['AHN/AHN2', '05M', 'RUW']"
,ASTER/AST_L1T_003,ASTER/AST_L1T_003,ASTER/AST_L1T_003,ASTER/AST L1T 003,ASTER/AST L1T 003,"['ASTER/AST', 'L1T', '003']"
,AU/GA/AUSTRALIA_5M_DEM,AU/GA/AUSTRALIA_5M_DEM,AU/GA/AUSTRALIA_5M_DEM,AU/GA/AUSTRALIA 5M DEM,AU/GA/AUSTRALIA 5M DEM,"['AU/GA/AUSTRALIA', '5M', 'DEM']"
,AU/GA/DEM_1SEC/v10/DEM-H,AU/GA/DEM_1SEC/V10/DEM-H,AU/GA/DEM_1SEC/V10/DEM-H,AU/GA/DEM 1SEC/V10/DEM H,AU/GA/DEM 1SEC/V10/DEM H,"['AU/GA/DEM', '1SEC/V10/DEM', 'H']"
,AU/GA/DEM_1SEC/v10/DEM-S,AU/GA/DEM_1SEC/V10/DEM-S,AU/GA/DEM_1SEC/V10/DEM-S,AU/GA/DEM 1SEC/V10/DEM S,AU/GA/DEM 1SEC/V10/DEM S,"['AU/GA/DEM', '1SEC/V10/DEM', 'S']"
,BIOPAMA/GlobalOilPalm/v1,BIOPAMA/GLOBALOILPALM/V1,BIOPAMA/GLOBALOILPALM/V1,BIOPAMA/GLOBALOILPALM/V1,BIOPAMA/GLOBALOILPALM/V1,['BIOPAMA/GLOBALOILPALM/V1']
,BNU/FGS/CCNL/v1,BNU/FGS/CCNL/V1,BNU/FGS/CCNL/V1,BNU/FGS/CCNL/V1,BNU/FGS/CCNL/V1,['BNU/FGS/CCNL/V1']
,CAS/IGSNRR/PML/V2,CAS/IGSNRR/PML/V2,CAS/IGSNRR/PML/V2,CAS/IGSNRR/PML/V2,CAS/IGSNRR/PML/V2,['CAS/IGSNRR/PML/V2']
,CAS/IGSNRR/PML/V2_v017,CAS/IGSNRR/PML/V2_V017,CAS/IGSNRR/PML/V2_V017,CAS/IGSNRR/PML/V2 V017,CAS/IGSNRR/PML/V2 V017,"['CAS/IGSNRR/PML/V2', 'V017']"
,CGIAR/SRTM90_V4,CGIAR/SRTM90_V4,CGIAR/SRTM90_V4,CGIAR/SRTM90 V4,CGIAR/SRTM90 V4,"['CGIAR/SRTM90', 'V4']"
,CIESIN/GPWv4/ancillary-data-grids,CIESIN/GPWV4/ANCILLARY-DATA-GRIDS,CIESIN/GPWV4/ANCILLARY-DATA-GRIDS,CIESIN/GPWV4/ANCILLARY DATA GRIDS,CIESIN/GPWV4/ANCILLARY A GRIDS,"['CIESIN/GPWV4/ANCILLARY', 'A', 'GRIDS']"
,CIESIN/GPWv4/population-count,CIESIN/GPWV4/POPULATION-COUNT,CIESIN/GPWV4/POPULATION-COUNT,CIESIN/GPWV4/POPULATION COUNT,CIESIN/GPWV4/POPULATION COUNT,"['CIESIN/GPWV4/POPULATION', 'COUNT']"
