id_dedl,original,upper,missions,unsep,rmstr,split
,3dep-lidar-classification,3DEP-LIDAR-CLASSIFICATION,3DEP-LIDAR-CLASSIFICATION,3DEP LIDAR CLASSIFICATION,3DEP LIDAR CLASSIFICATION,"['3DEP', 'LIDAR', 'CLASSIFICATION']"
,3dep-lidar-copc,3DEP-LIDAR-COPC,3DEP-LIDAR-COPC,3DEP LIDAR COPC,3DEP LIDAR COPC,"['3DEP', 'LIDAR', 'COPC']"
,3dep-lidar-dsm,3DEP-LIDAR-DSM,3DEP-LIDAR-DSM,3DEP LIDAR DSM,3DEP LIDAR DSM,"['3DEP', 'LIDAR', 'DSM']"
,3dep-lidar-dtm,3DEP-LIDAR-DTM,3DEP-LIDAR-DTM,3DEP LIDAR DTM,3DEP LIDAR DTM,"['3DEP', 'LIDAR', 'DTM']"
,3dep-lidar-dtm-native,3DEP-LIDAR-DTM-NATIVE,3DEP-LIDAR-DTM-NATIVE,3DEP LIDAR DTM NATIVE,3DEP LIDAR DTM NATIVE,"['3DEP', 'LIDAR', 'DTM', 'NATIVE']"
,3dep-lidar-hag,3DEP-LIDAR-HAG,3DEP-LIDAR-HAG,3DEP LIDAR HAG,3DEP LIDAR HAG,"['3DEP', 'LIDAR', 'HAG']"
,3dep-lidar-intensity,3DEP-LIDAR-INTENSITY,3DEP-LIDAR-INTENSITY,3DEP LIDAR INTENSITY,3DEP LIDAR INTENSITY,"['3DEP', 'LIDAR', 'INTENSITY']"
,3dep-lidar-pointsourceid,3DEP-LIDAR-POINTSOURCEID,3DEP-LIDAR-POINTSOURCEID,3DEP LIDAR POINTSOURCEID,3DEP LIDAR POINTSOURCEID,"['3DEP', 'LIDAR', 'POINTSOURCEID']"
,3dep-lidar-returns,3DEP-LIDAR-RETURNS,3DEP-LIDAR-RETURNS,3DEP LIDAR RETURNS,3DEP LIDAR RETURNS,"['3DEP', 'LIDAR', 'RETURNS']"
,3dep-seamless,3DEP-SEAMLESS,3DEP-SEAMLESS,3DEP SEAMLESS,3DEP SEAMLESS,"['3DEP', 'SEAMLESS']"
