id_dedl,original,upper,missions,unsep,rmstr,split
,AGERA5,AGERA5,AGERA5,AGERA5,AGERA5,['AGERA5']
,ALOS_PALSAR2_AGRICULTURE,ALOS_PALSAR2_AGRICULTURE,ALOS_PALSAR2_AGRICULTURE,ALOS PALSAR2 AGRICULTURE,ALOS PALSAR2 AGRICULTURE,"['ALOS', 'PALSAR2', 'AGRICULTURE']"
,ALOS_PALSAR2_L2_1_10M,ALOS_PALSAR2_L2_1_10M,ALOS_PALSAR2_L2_1_10M,ALOS PALSAR2 L2 1 10M,ALOS PALSAR2 L2 1 10M,"['ALOS', 'PALSAR2', 'L2', '1', '10M']"
,ALOS_PALSAR2_L2_1_3M,ALOS_PALSAR2_L2_1_3M,ALOS_PALSAR2_L2_1_3M,ALOS PALSAR2 L2 1 3M,ALOS PALSAR2 L2 1 3M,"['ALOS', 'PALSAR2', 'L2', '1', '3M']"
,ALOS_PALSAR2_RICE_PADDY_FIELD_MAP,ALOS_PALSAR2_RICE_PADDY_FIELD_MAP,ALOS_PALSAR2_RICE_PADDY_FIELD_MAP,ALOS PALSAR2 RICE PADDY FIELD MAP,ALOS PALSAR2 RICE PADDY FIELD MAP,"['ALOS', 'PALSAR2', 'RICE', 'PADDY', 'FIELD', 'MAP']"
,CAMS_GLC,CAMS_GLC,CAMS_GLC,CAMS GLC,CAMS GLC,"['CAMS', 'GLC']"
,CDS_2M_TEMP_2020,CDS_2M_TEMP_2020,CDS_2M_TEMP_2020,CDS 2M TEMP 2020,CDS 2M TEMP 2020,"['CDS', '2M', 'TEMP', '2020']"
,CGLS_FAPAR300_V1_GLOBAL,CGLS_FAPAR300_V1_GLOBAL,CGLS_FAPAR300_V1_GLOBAL,CGLS FAPAR300 V1 GLOBAL,CLMS FAPAR300 V1 GLOBAL,"['CLMS', 'FAPAR300', 'V1', 'GLOBAL']"
,CGLS_FAPAR_V2_GLOBAL,CGLS_FAPAR_V2_GLOBAL,CGLS_FAPAR_V2_GLOBAL,CGLS FAPAR V2 GLOBAL,CLMS FAPAR V2 GLOBAL,"['CLMS', 'FAPAR', 'V2', 'GLOBAL']"
,CGLS_FCOVER300_V1_GLOBAL,CGLS_FCOVER300_V1_GLOBAL,CGLS_FCOVER300_V1_GLOBAL,CGLS FCOVER300 V1 GLOBAL,CLMS FCOVER300 V1 GLOBAL,"['CLMS', 'FCOVER300', 'V1', 'GLOBAL']"
,CGLS_FCOVER_V2_GLOBAL,CGLS_FCOVER_V2_GLOBAL,CGLS_FCOVER_V2_GLOBAL,CGLS FCOVER V2 GLOBAL,CLMS FCOVER V2 GLOBAL,"['CLMS', 'FCOVER', 'V2', 'GLOBAL']"
