id_dedl,original,upper,missions,unsep,rmstr,split
,urn:eop:VITO:CGS_S1_GRD_L1,URN:EOP:VITO:CGS_S1_GRD_L1,URN:EOP:VITO:CGS_SENTINEL1_GRD_L1,URN EOP VITO CGS SENTINEL1 GRD L1,P CLMS CGS SENTINEL1 GRD L1,"['P', 'CLMS', 'CGS', 'SENTINEL1', 'GRD', 'L1']"
,urn:eop:VITO:CGS_S1_GRD_SIGMA0_L1,URN:EOP:VITO:CGS_S1_GRD_SIGMA0_L1,URN:EOP:VITO:CGS_SENTINEL1_GRD_SIGMA0_L1,URN EOP VITO CGS SENTINEL1 GRD SIGMA0 L1,P CLMS CGS SENTINEL1 GRD SIGMA0 L1,"['P', 'CLMS', 'CGS', 'SENTINEL1', 'GRD', 'SIGMA0', 'L1']"
,urn:eop:VITO:CGS_S1_SLC_L1,URN:EOP:VITO:CGS_S1_SLC_L1,URN:EOP:VITO:CGS_SENTINEL1_SLC_L1,URN EOP VITO CGS SENTINEL1 SLC L1,P CLMS CGS SENTINEL1 SLC L1,"['P', 'CLMS', 'CGS', 'SENTINEL1', 'SLC', 'L1']"
,urn:eop:VITO:CGS_S2_L1C,URN:EOP:VITO:CGS_S2_L1C,URN:EOP:VITO:CGS_SENTINEL2_L1C,URN EOP VITO CGS SENTINEL2 L1C,P CLMS CGS SENTINEL2 L1C,"['P', 'CLMS', 'CGS', 'SENTINEL2', 'L1C']"
,urn:eop:VITO:COP_DEM_EU_25M,URN:EOP:VITO:COP_DEM_EU_25M,URN:EOP:VITO:COP_DEM_EU_25M,URN EOP VITO COP DEM EU 25M,P CLMS COP DEM EU 25M,"['P', 'CLMS', 'COP', 'DEM', 'EU', '25M']"
,urn:eop:VITO:COP_DEM_GLO_30M_COG,URN:EOP:VITO:COP_DEM_GLO_30M_COG,URN:EOP:VITO:COP_DEM_GLO_30M_COG,URN EOP VITO COP DEM GLO 30M COG,P CLMS COP DEM GLO 30M COG,"['P', 'CLMS', 'COP', 'DEM', 'GLO', '30M', 'COG']"
,urn:eop:VITO:COP_DEM_GLO_90M_COG,URN:EOP:VITO:COP_DEM_GLO_90M_COG,URN:EOP:VITO:COP_DEM_GLO_90M_COG,URN EOP VITO COP DEM GLO 90M COG,P CLMS COP DEM GLO 90M COG,"['P', 'CLMS', 'COP', 'DEM', 'GLO', '90M', 'COG']"
,urn:eop:VITO:ESA_WORLDCEREAL_ACTIVECROPLAND_V1,URN:EOP:VITO:ESA_WORLDCEREAL_ACTIVECROPLAND_V1,URN:EOP:VITO:ESA_WORLDCEREAL_ACTIVECROPLAND_V1,URN EOP VITO ESA WORLDCEREAL ACTIVECROPLAND V1,P CLMS ESA WORLDCEREAL ACTIVECROPLAND V1,"['P', 'CLMS', 'ESA', 'WORLDCEREAL', 'ACTIVECROPLAND', 'V1']"
,urn:eop:VITO:ESA_WORLDCEREAL_IRRIGATION_V1,URN:EOP:VITO:ESA_WORLDCEREAL_IRRIGATION_V1,URN:EOP:VITO:ESA_WORLDCEREAL_IRRIGATION_V1,URN EOP VITO ESA WORLDCEREAL IRRIGATION V1,P CLMS ESA WORLDCEREAL IRRIGATION V1,"['P', 'CLMS', 'ESA', 'WORLDCEREAL', 'IRRIGATION', 'V1']"
,urn:eop:VITO:ESA_WORLDCEREAL_MAIZE_V1,URN:EOP:VITO:ESA_WORLDCEREAL_MAIZE_V1,URN:EOP:VITO:ESA_WORLDCEREAL_MAIZE_V1,URN EOP VITO ESA WORLDCEREAL MAIZE V1,P CLMS ESA WORLDCEREAL MAIZE V1,"['P', 'CLMS', 'ESA', 'WORLDCEREAL', 'MAIZE', 'V1']"
