id_dedl,original,upper,missions,unsep,rmstr,split
,AGERA5,AGERA5,AGERA5,AGERA5,AGERA5,['AGERA5']
,CGLS_FAPAR300_V1_GLOBAL,CGLS_FAPAR300_V1_GLOBAL,CGLS_FAPAR300_V1_GLOBAL,CGLS FAPAR300 V1 GLOBAL,CLMS FAPAR300 V1 GLOBAL,"['CLMS', 'FAPAR300', 'V1', 'GLOBAL']"
,CGLS_FAPAR_V2_GLOBAL,CGLS_FAPAR_V2_GLOBAL,CGLS_FAPAR_V2_GLOBAL,CGLS FAPAR V2 GLOBAL,CLMS FAPAR V2 GLOBAL,"['CLMS', 'FAPAR', 'V2', 'GLOBAL']"
,CGLS_FCOVER300_V1_GLOBAL,CGLS_FCOVER300_V1_GLOBAL,CGLS_FCOVER300_V1_GLOBAL,CGLS FCOVER300 V1 GLOBAL,CLMS FCOVER300 V1 GLOBAL,"['CLMS', 'FCOVER300', 'V1', 'GLOBAL']"
,CGLS_FCOVER_V2_GLOBAL,CGLS_FCOVER_V2_GLOBAL,CGLS_FCOVER_V2_GLOBAL,CGLS FCOVER V2 GLOBAL,CLMS FCOVER V2 GLOBAL,"['CLMS', 'FCOVER', 'V2', 'GLOBAL']"
,CGLS_GDMP300_V1_GLOBAL,CGLS_GDMP300_V1_GLOBAL,CGLS_GDMP300_V1_GLOBAL,CGLS GDMP300 V1 GLOBAL,CLMS GDMP300 V1 GLOBAL,"['CLMS', 'GDMP300', 'V1', 'GLOBAL']"
,CGLS_GDMP_V2_GLOBAL,CGLS_GDMP_V2_GLOBAL,CGLS_GDMP_V2_GLOBAL,CGLS GDMP V2 GLOBAL,CLMS GDMP V2 GLOBAL,"['CLMS', 'GDMP', 'V2', 'GLOBAL']"
,CGLS_LAI300_V1_GLOBAL,CGLS_LAI300_V1_GLOBAL,CGLS_LAI300_V1_GLOBAL,CGLS LAI300 V1 GLOBAL,CLMS LAI300 V1 GLOBAL,"['CLMS', 'LAI300', 'V1', 'GLOBAL']"
,CGLS_LAI_V2_GLOBAL,CGLS_LAI_V2_GLOBAL,CGLS_LAI_V2_GLOBAL,CGLS LAI V2 GLOBAL,CLMS LAI V2 GLOBAL,"['CLMS', 'LAI', 'V2', 'GLOBAL']"
,CGLS_NDVI300_V1_GLOBAL,CGLS_NDVI300_V1_GLOBAL,CGLS_NDVI300_V1_GLOBAL,CGLS NDVI300 V1 GLOBAL,CLMS NDVI300 V1 GLOBAL,"['CLMS', 'NDVI300', 'V1', 'GLOBAL']"
