id_dedl,original,upper,missions,unsep,rmstr,split
,EO:CLMS:DAT:CGLS_CONTINENTS_WB_V1_1KM,EO:CLMS:DAT:CGLS_CONTINENTS_WB_V1_1KM,EO:CLMS:DAT:CGLS_CONTINENTS_WB_V1_1KM,EO CLMS DAT CGLS CONTINENTS WB V1 1KM, CLMS  CLMS CONTINENTS WB V1 1KM,"['', 'CLMS', '', 'CLMS', 'CONTINENTS', 'WB', 'V1', '1KM']"
,EO:CLMS:DAT:CGLS_DAILY10_LST_DC_GLOBAL_V1,EO:CLMS:DAT:CGLS_DAILY10_LST_DC_GLOBAL_V1,EO:CLMS:DAT:CGLS_DAILY10_LST_DC_GLOBAL_V1,EO CLMS DAT CGLS DAILY10 LST DC GLOBAL V1, CLMS  CLMS DAILY10 LST DC GLOBAL V1,"['', 'CLMS', '', 'CLMS', 'DAILY10', 'LST', 'DC', 'GLOBAL', 'V1']"
,EO:CLMS:DAT:CGLS_DAILY10_LST_DC_GLOBAL_V2,EO:CLMS:DAT:CGLS_DAILY10_LST_DC_GLOBAL_V2,EO:CLMS:DAT:CGLS_DAILY10_LST_DC_GLOBAL_V2,EO CLMS DAT CGLS DAILY10 LST DC GLOBAL V2, CLMS  CLMS DAILY10 LST DC GLOBAL V2,"['', 'CLMS', '', 'CLMS', 'DAILY10', 'LST', 'DC', 'GLOBAL', 'V2']"
,EO:CLMS:DAT:CGLS_DAILY10_LST_TCI_GLOBAL_V1,EO:CLMS:DAT:CGLS_DAILY10_LST_TCI_GLOBAL_V1,EO:CLMS:DAT:CGLS_DAILY10_LST_TCI_GLOBAL_V1,EO CLMS DAT CGLS DAILY10 LST TCI GLOBAL V1, CLMS  CLMS DAILY10 LST TCI GLOBAL V1,"['', 'CLMS', '', 'CLMS', 'DAILY10', 'LST', 'TCI', 'GLOBAL', 'V1']"
,EO:CLMS:DAT:CGLS_DAILY10_LST_TCI_GLOBAL_V2,EO:CLMS:DAT:CGLS_DAILY10_LST_TCI_GLOBAL_V2,EO:CLMS:DAT:CGLS_DAILY10_LST_TCI_GLOBAL_V2,EO CLMS DAT CGLS DAILY10 LST TCI GLOBAL V2, CLMS  CLMS DAILY10 LST TCI GLOBAL V2,"['', 'CLMS', '', 'CLMS', 'DAILY10', 'LST', 'TCI', 'GLOBAL', 'V2']"
,EO:CLMS:DAT:CGLS_GLOBAL_ALBH_V1_1KM,EO:CLMS:DAT:CGLS_GLOBAL_ALBH_V1_1KM,EO:CLMS:DAT:CGLS_GLOBAL_ALBH_V1_1KM,EO CLMS DAT CGLS GLOBAL ALBH V1 1KM, CLMS  CLMS GLOBAL ALBH V1 1KM,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'ALBH', 'V1', '1KM']"
,EO:CLMS:DAT:CGLS_GLOBAL_ALDH_V1_1KM,EO:CLMS:DAT:CGLS_GLOBAL_ALDH_V1_1KM,EO:CLMS:DAT:CGLS_GLOBAL_ALDH_V1_1KM,EO CLMS DAT CGLS GLOBAL ALDH V1 1KM, CLMS  CLMS GLOBAL ALDH V1 1KM,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'ALDH', 'V1', '1KM']"
,EO:CLMS:DAT:CGLS_GLOBAL_DMP300_V1_333M,EO:CLMS:DAT:CGLS_GLOBAL_DMP300_V1_333M,EO:CLMS:DAT:CGLS_GLOBAL_DMP300_V1_333M,EO CLMS DAT CGLS GLOBAL DMP300 V1 333M, CLMS  CLMS GLOBAL DMP300 V1 333M,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'DMP300', 'V1', '333M']"
,EO:CLMS:DAT:CGLS_GLOBAL_DMP_V2_1KM,EO:CLMS:DAT:CGLS_GLOBAL_DMP_V2_1KM,EO:CLMS:DAT:CGLS_GLOBAL_DMP_V2_1KM,EO CLMS DAT CGLS GLOBAL DMP V2 1KM, CLMS  CLMS GLOBAL DMP V2 1KM,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'DMP', 'V2', '1KM']"
,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR300_V1_333M,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR300_V1_333M,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR300_V1_333M,EO CLMS DAT CGLS GLOBAL FAPAR300 V1 333M, CLMS  CLMS GLOBAL FAPAR300 V1 333M,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'FAPAR300', 'V1', '333M']"
,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR_V1_1KM,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR_V1_1KM,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR_V1_1KM,EO CLMS DAT CGLS GLOBAL FAPAR V1 1KM, CLMS  CLMS GLOBAL FAPAR V1 1KM,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'FAPAR', 'V1', '1KM']"
,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR_V2_1KM,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR_V2_1KM,EO:CLMS:DAT:CGLS_GLOBAL_FAPAR_V2_1KM,EO CLMS DAT CGLS GLOBAL FAPAR V2 1KM, CLMS  CLMS GLOBAL FAPAR V2 1KM,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'FAPAR', 'V2', '1KM']"
,EO:CLMS:DAT:CGLS_GLOBAL_FCOVER300_V1_333M,EO:CLMS:DAT:CGLS_GLOBAL_FCOVER300_V1_333M,EO:CLMS:DAT:CGLS_GLOBAL_FCOVER300_V1_333M,EO CLMS DAT CGLS GLOBAL FCOVER300 V1 333M, CLMS  CLMS GLOBAL FCOVER300 V1 333M,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'FCOVER300', 'V1', '333M']"
,EO:CLMS:DAT:CGLS_GLOBAL_FCOVER_V1_1KM,EO:CLMS:DAT:CGLS_GLOBAL_FCOVER_V1_1KM,EO:CLMS:DAT:CGLS_GLOBAL_FCOVER_V1_1KM,EO CLMS DAT CGLS GLOBAL FCOVER V1 1KM, CLMS  CLMS GLOBAL FCOVER V1 1KM,"['', 'CLMS', '', 'CLMS', 'GLOBAL', 'FCOVER', 'V1', '1KM']"
