id,old_id,prov_id,title,description,keywords,extent,links,wekeo,dataspace,cds,clms,vito,terrascope,openeo,eea,eum,cmems,mspc,gee,earthsearch,creodias,sentinelhub,eurac,openscience,Priority,licensor,producer,processor
EO.ESA.DAT.COP-DEM.GLO-30,EO:ESA:DAT:COP,esa,wekeo,wekeo,wekeo,wekeo,,EO:DEM:DAT:COP-DEM_GLO-30-DGED__2021_1,,,,TERRASCOPE_S2_FAPAR_V2,urn:eop:VITO:TERRASCOPE_S2_FAPAR_V2,TERRASCOPE_S2_FAPAR_V2,,,,cop-dem-glo-30,COPERNICUS/DEM/GLO30,cop-dem-glo-30,COP-DEM,,,,5,ESA,Sinergise,sinergise
EO.CLMS.DAT.CORINE,EO:CLMS:DAT:CORINE,eea,wekeo,wekeo,wekeo,wekeo,,EO:CLMS:DAT:CORINE,,,,CORINE_LAND_COVER,,CORINE_LAND_COVER,a5144888-ee2a-4e5d-a7b0-2bbf21656348,,,,COPERNICUS/CORINE/V20/100m,,,,,,6,EEA,EEA,EEA
EO.ECMWF.DAT.SIS-HYDROLOGY-METEOROLOGY-DERIVED-PROJECTIONS,EO:ECMWF:DAT:SIS_HYDROLOGY_METEOROLOGY_DERIVED_PROJECTIONS,cds,wekeo,wekeo,wekeo,wekeo,,EO:ECMWF:DAT:SIS_HYDROLOGY_METEOROLOGY_DERIVED_PROJECTIONS,,eu.copernicus.climate.sis-hydrology-meteorology-derived-projections,,,,,,,,,,,,,,,12,ECMWF,ECMWF,ECMWF
EO.ECMWF.DAT.ERA5-HOURLY-VARIABLES-ON-PRESSURE-LEVELS,EO:ECMWF:DAT:ERA5_HOURLY_VARIABLES_ON_PRESSURE_LEVELS,cds,wekeo,wekeo,wekeo,wekeo,,EO:ECMWF:DAT:REANALYSIS_ERA5_PRESSURE_LEVELS,,eu.copernicus.climate.reanalysis-era5-pressure-levels,,,,,,,,,,,,,,,13,ECMWF,ECMWF,ECMWF
EO.ECMWF.DAT.ERA5-LAND-HOURLY,EO:ECMWF:DAT:ERA5_LAND_HOURLY,cds,wekeo,wekeo,wekeo,wekeo,,EO:ECMWF:DAT:REANALYSIS_ERA5_LAND,,eu.copernicus.climate.reanalysis-era5-land,,,,,,,,,,,,,,,14,ECMWF,ECMWF,ECMWF
EO.ECMWF.DAT.REANALYSIS-ERA5-SINGLE-LEVELS,EO:ECMWF:DAT:REANALYSIS_ERA5_SINGLE_LEVELS,cds,wekeo,wekeo,wekeo,wekeo,,EO:ECMWF:DAT:REANALYSIS_ERA5_SINGLE_LEVELS,,eu.copernicus.climate.reanalysis-era5-single-levels,,,,,,,,,,,,,,,15,ECMWF,ECMWF,ECMWF
EO.ECMWF.DAT.REANALYSIS-UERRA-EUROPE-SINGLE-LEVELS,EO:ECMWF:DAT:REANALYSIS_UERRA_EUROPE_SINGLE_LEVELS,cds,wekeo,wekeo,wekeo,wekeo,,EO:ECMWF:DAT:REANALYSIS_UERRA_EUROPE_SINGLE_LEVELS,,eu.copernicus.climate.reanalysis-uerra-europe-single-levels,,,,,,,,,,,,,,,16,ECMWF,ECMWF,ECMWF
EO.CLMS.DAT.GLO.FCOVER300_V1,EO:CLMS:DAT:CGLS_GLOBAL_FCOVER300_V1_333M,clms,wekeo,wekeo,wekeo,wekeo,,EO:CLMS:DAT:CGLS_GLOBAL_FCOVER300_V1_333M,,,urn:cgls:global:fcover300_v1_333m,CGLS_FCOVER300_V1_GLOBAL,,CGLS_FCOVER300_V1_GLOBAL,,,,,,,,,,,17,JRC,VITO NV,VITO NV
EO.CLMS.DAT.GLO.NDVI_1KM_V2,EO:CLMS:DAT:CGLS_GLOBAL_NDVI_V2_1KM,clms,wekeo,wekeo,wekeo,wekeo,,EO:CLMS:DAT:CGLS_GLOBAL_NDVI_V2_1KM_LTS,,,urn:cgls:global:ndvi_v2_1km,CGLS_NDVI_V2_GLOBAL,,CGLS_NDVI_V2_GLOBAL,,,,,,,,,,,18,JRC,VITO NV,VITO NV
EO.CLMS.DAT.GLO.NDVI300_V1,EO:CLMS:DAT:CGLS_GLOBAL_NDVI300_V1_333M,clms,wekeo,wekeo,wekeo,wekeo,,EO:CLMS:DAT:CGLS_GLOBAL_NDVI300_V1_333M,,,urn:cgls:global:ndvi_v2_1km,CGLS_NDVI_V2_GLOBAL,,CGLS_NDVI_V2_GLOBAL,,,,,,,,,,,19,JRC,VITO NV,VITO NV
