operation,base_url,endpoint,summary,description,operationId
get,clms,/api/0.1/csw/virtuals,Get virtual CSW services,"Virtual CSWs are created to easily setup services providing access to records without the need to define filters. For example, in Europe, local, regional and national organizations define entry point for records in the scope of the INSPIRE directive. Those services can then be easily harvested to exchange information. Virtual CSWs do not support transaction. For this use the main catalog CSW service.",getAllVirtualCsw
put,clms,/api/0.1/csw/virtuals,Add a virtual CSW,The service name MUST be unique. An exception is returned if not the case.,addVirtualCsw
get,clms,/api/0.1/csw/virtuals/{identifier},Get a virtual CSW,,getVirtualCsw
put,clms,/api/0.1/csw/virtuals/{identifier},Update a virtual CSW,,updateVirtualCsw
delete,clms,/api/0.1/csw/virtuals/{identifier},Remove a virtual CSW,"After removal, all virtual CSW configuration is reloaded.",deleteVirtualCsw
get,clms,/api/0.1/customstyle,Get CssStyleSettings,This returns a map with all Less variables.,getCssStyle
post,clms,/api/0.1/customstyle,Saves custom style variables.,Saves custom style variables.,saveCustomStyle
delete,clms,/api/0.1/formatters/cache,Clear formatter cache,"Formatters are used to render records in various format (HTML, PDF, ...). When a record is rendered a cache is populated for better performance. By default the cache is an H2 database with files on the filesystems (See <dataDirectory>/resources/htmlcache/formatter-cache folder).",clearFormatterCache
get,clms,/api/0.1/groups,Get groups,"The catalog contains one or more groups. By default, there is 3 reserved groups (Internet, Intranet, Guest) and a sample group.<br/>This service returns all catalog groups when not authenticated or when current is user is an administrator. The list can contains or not reserved groups depending on the parameters.<br/>When authenticated, return user groups optionally filtered on a specific user profile.",getGroups
put,clms,/api/0.1/groups,Add a group,Return the identifier of the group created.,addGroup
get,clms,/api/0.1/groups/{groupIdentifier},Get group,Return the requested group details.,getGroup
put,clms,/api/0.1/groups/{groupIdentifier},Update a group,,updateGroup
delete,clms,/api/0.1/groups/{groupIdentifier},Remove a group,"Remove a group by first removing sharing settings, link to users and finally reindex all affected records.",deleteGroup
get,clms,/api/0.1/groups/{groupIdentifier}/users,Get group users,,getGroupUsers
get,clms,/api/0.1/groups/{groupId}/logo,Get the group logo image.,If last-modified header is present it is used to check if the logo has been modified since the header date. If it hasn't been modified returns an empty 304 Not Modified response. If modified returns the image. If the group has no logo then returns a transparent 1x1 px PNG image.,get
post,clms,/api/0.1/harvesters/{harvesterUuid}/assign,Assign harvester records to a new source,,assignHarvestedRecordToSource
get,clms,/api/0.1/identifiers,Get identifier templates,Identifier templates are used to create record UUIDs havind a particular structure. The template will be used when user creates a new record. The template identifier to use is defined in the administration > settings.,getIdentifiers
put,clms,/api/0.1/identifiers,Add an identifier template,,addIdentifier
put,clms,/api/0.1/identifiers/{identifier},Update an identifier template,,updateIdentifier
delete,clms,/api/0.1/identifiers/{identifier},Remove an identifier template,,deleteIdentifier
get,clms,/api/0.1/isolanguages,Get ISO languages,ISO languages provides a list of all languages (eg. used for autocompletion in metadata editor).,getIsoLanguages
get,clms,/api/0.1/languages,Get languages,"Languages for the application having translations in the database. All tables with 'Desc' suffix contains translation for some domain objects like groups, tags, ...",getLanguages
put,clms,/api/0.1/languages/{langCode},Add a language,Add all default translations from all *Desc tables in the database. This operation will only add translations for a default catalog installation. Defaults can be customized in SQL scripts located in WEB-INF/classes/setup/sql/data/*.,addLanguage
delete,clms,/api/0.1/languages/{langCode},Remove a language,Delete all translations from all *Desc tables in the database. Warning: This will also remove all translations you may have done to those objects (eg. custom groups).,deleteLanguage
