operation,base_url,endpoint,summary,description,operationId
get,eea,/customstyle,Get CssStyleSettings,This returns a map with all Less variables.,getCssStyle
post,eea,/customstyle,Saves custom style variables.,Saves custom style variables.,saveCssStyle
get,eea,/standards/{schema}/codelists/{codelist}/details,Get codelist details,,getSchemaCodelistsWithDetails
get,eea,/groups/{groupIdentifier},Get group,Return the requested group details.,getGroup
put,eea,/groups/{groupIdentifier},Update a group,,updateGroup
delete,eea,/groups/{groupIdentifier},Remove a group,"Remove a group by first removing sharing settings, link to users and finally reindex all affected records.",deleteGroup
get,eea,/records/{testId}/validate/inspire,Check the status of validation with the INSPIRE service.,User MUST be able to edit the record to validate it. An INSPIRE endpoint must be configured in Settings. If the process is complete an object with status is returned. ,checkValidation
get,eea,/i18n/db,List translations for database description table,,getTranslations
get,eea,/pages/{language}/{pageId},Return the page object details except the content,<a href='https://geonetwork-opensource.org/manuals/4.0.x/en/customizing-application/adding-static-pages.html'>More info</a>,getPage
put,eea,/pages/{language}/{pageId},Update a page,<a href='https://geonetwork-opensource.org/manuals/4.0.x/en/customizing-application/adding-static-pages.html'>More info</a>,updatePage
delete,eea,/pages/{language}/{pageId},Delete a page,<a href='https://geonetwork-opensource.org/manuals/4.0.x/en/customizing-application/adding-static-pages.html'>More info</a>,deletePage
get,eea,/harvesters/properties/{property},Check if a harvester name or host already exist,,checkHarvesterPropertyExist
put,eea,/user/actions/forgot-password,Send user password reminder by email,An email is sent to the requested user with a link to reset his password. User MUST have an email to get the link. LDAP users will not be able to retrieve their password using this service.,sendPasswordByEmail
get,eea,/registries/actions/entries/synchronize,Preview updated matching entries in records,"Scan one or more records for element matching the XPath provided and then check if this element is available in the directory. If Found, the element from the directory update the element in the record and optionally text or attribute value properties are preserved using propertiesToCopy. Elements can be lost if not existing in the directory entry (eg. from an gex:Extent directory containing only description and bounding polygon, the update can remove temporal element).<br/><br/>The identifier XPath is used to find a match. An optional filtercan be added to restrict search to a subset of the directory. If no identifier XPaths is provided, the UUID is based on the content of the snippet (hash). It is recommended to use an identifier for better matching (eg. ISO19139 contact with different roles will not match on the automatic UUID mode).",previewUpdatedRecordEntries
put,eea,/registries/actions/entries/synchronize,Update matching entries in records,"Scan one or more records for element matching the XPath provided and then check if this element is available in the directory. If Found, the element from the directory update the element in the record and optionally text or attribute value properties are preserved using propertiesToCopy. Elements can be lost if not existing in the directory entry (eg. from an gex:Extent directory containing only description and bounding polygon, the update can remove temporal element).<br/><br/>The identifier XPath is used to find a match. An optional filtercan be added to restrict search to a subset of the directory. If no identifier XPaths is provided, the UUID is based on the content of the snippet (hash). It is recommended to use an identifier for better matching (eg. ISO19139 contact with different roles will not match on the automatic UUID mode).",updateRecordEntries
get,eea,/records,Get catalog content as RDF. This endpoint supports the same Lucene query parameters as for the GUI search.,.,getAsRdf
put,eea,/records,Add a record,"Add one or more record from an XML fragment, URL or file in a folder on the catalog server. When loadingfrom the catalog server folder, it might be faster to use a local filesystem harvester.",insert
post,eea,/records,Add a record from XML or MEF/ZIP file,Add record in the catalog by uploading files.,insertFile
delete,eea,/records,Delete one or more records,User MUST be able to edit the record to delete it. ,deleteRecords
get,eea,/records/{metadataUuid}/query,List saved queries for this metadata,,getSavedQueries
get,eea,/pages/config/sections,,,getPageSections
get,eea,/records/{metadataUuid}/processes,Get suggestions,Analyze the record an suggest processes to improve the quality of the record.<br/><a href='http://geonetwork-opensource.org/manuals/trunk/eng/users/user-guide/workflow/batchupdate-xsl.html'>More info</a>,getSuggestions
put,eea,/site/info/staging/{profile},Update staging profile,TODO: Needs doc,updateStagingProfile
get,eea,/users/{userIdentifier},Get user,,getUser
put,eea,/users/{userIdentifier},Update a user,Updates a catalog user.,updateUser
delete,eea,/users/{userIdentifier},Delete a user,Deletes a catalog user by identifier.,deleteUser
put,eea,/site/logo,Set catalog logo,"Logos are stored in the data directory resources/images/harvesting as PNG or GIF images. When a logo is assigned to the catalog, a new image is created in images/logos/<catalogUuid>.png.",setLogo
get,eea,/processes/reports,Get current process reports,"When processing, the report is stored in memory and allows to retrieve progress repport during processing. Usually, process reports are returned by the synchronous processing operation.",getProcessReport
delete,eea,/processes/reports,Clear process reports list,,delete
get,eea,/users/owners,Get owners,Return users who actually owns one or more records.,getRecordOwners
put,eea,/users/owners,Transfer privileges,,saveOwners
get,eea,/records/{metadataUuid}/processes/{process},Preview process result,Process a metadata with an XSL transformation declared in the metadata schema (See the process folder). Parameters sent to the service are forwarded to XSL process.,processRecordPreview
post,eea,/records/{metadataUuid}/processes/{process},Apply a process,Process a metadata with an XSL transformation declared in the metadata schema (See the process folder). Parameters sent to the service are forwarded to XSL process.,processRecord
get,eea,/groups,Get groups,"The catalog contains one or more groups. By default, there is 3 reserved groups (Internet, Intranet, Guest) and a sample group.<br/>This service returns all catalog groups when not authenticated or when current is user is an administrator. The list can contains or not reserved groups depending on the parameters.<br/>When authenticated, return user groups optionally filtered on a specific user profile.",getGroups
put,eea,/groups,Add a group,Return the identifier of the group created.,addGroup
get,eea,/i18n/db/translations,List database translations (used to overrides client application translations).,,getDbTranslations
put,eea,/i18n/db/translations,Add or update all database translations.,,addTranslations
