operation,base_url,endpoint,summary,description,operationId
get,eum,/footprints/{sensorMode}/{subSatelliteLongitude},Returns the footprint for a GEO product.,"GEO products do not have an individual footprint. Instead, this resource represents a GEO footprint for the respective sensor mode and sub satellite longitude.",getFootprint
get,eum,/collections,Show all collections that are available for Data Store,Provides the metadata for every Collection available in Data Store in GeoJSON- or HTML-format depending on the requested format,getCollections
get,eum,/collections/{collID},Show details for a single collection.,Provides the basic Collection metadata in GeoJSON- or HTML-format depending on the requested format,getCollectionByID
get,eum,/collections/{collID}/products/{prodID},Show product metadata,Returns the product metadata,getProductByID
get,eum,/collections/{collID}/dates,Show available years for collection,Returns the available years for collection,getCollectionByIDDates
get,eum,/collections/{collID}/dates/{year},Show available months (of year) for collection,Returns the available months (of year) for a collection,getCollectionByIDDatesYear
get,eum,/collections/{collID}/dates/{year}/{month},"Show available days, tiles and products for month (of a year) for collection","Returns the available days, tiles and products for a month (of a year) for collection",getCollectionByIDDatesYearMonth
get,eum,/collections/{collID}/dates/{year}/{month}/products,Show available products for a month (of a year) for collection,Returns the available products for a month (of a year) for collection,getCollectionByIDDatesYearMonthProducts
get,eum,/collections/{collID}/dates/{year}/{month}/{day},Show available tiles and product counts for a day for collection,Returns the available tiles and product counts for a day for collection,getCollectionByIDDatesYearMonthDay
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/products,Show available products for a day for collection,Returns the available products for a day for collection,getCollectionByIDDatesYearMonthDayProducts
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/times,Show available hours and products for the hour of day,Returns the available hours and products for the hour of day,getCollectionByIDDatesYearMonthDayTimes
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/times/{hour},Show available minutes and products related for hour of day,Returns the available hours and products related to hour of day,getCollectionByIDDatesYearMonthDayTimesHour
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/times/{hour}/products,Show available products for hour of day,Returns the available products related to hour of day,getCollectionByIDDatesYearMonthDayTimesHourProducts
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/times/{hour}/{minute},Show platforms and product counts for a minute,Returns the platforms and product counts for a day for collection,getCollectionByIDDatesYearMonthDayTimesHourMinute
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/times/{hour}/{minute}/products,Show products for a minute,Returns the products for a minute,getCollectionByIDDatesYearMonthDayTimesHourMinuteProducts
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/times/{hour}/{minute}/platforms,Show all platforms and product counts for a the minute,Returns the platforms and product counts for a minute,getCollectionByIDDatesYearMonthDayTimesHourMinutePlatforms
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/times/{hour}/{minute}/platforms/{platform},Show products for a minute and platform,Returns the products for a minute and platform,getCollectionByIDDatesYearMonthDayTimesHourMinutePlatform
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/tiles,Show available zones (e.g. EU) and products for a day for collection,Returns the available zones (e.g. EU) and products for a day for collection,getCollectionByIDDatesYearMonthDayTiles
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/tiles/{zone},Show available subGrids and products related to zone for a day of a zone for collection,Returns the available subGrids and products related to zone for a day of a zone for collection,getCollectionByIDDatesYearMonthDayTilesZone
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/tiles/{zone}/products,Show available products related to a zone for a day for collection,Returns the available tproducts related to a zone for a day for collection,getCollectionByIDDatesYearMonthDayTilesZoneProducts
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/tiles/{zone}/t6,Show available tiles for subGrid T6 and products for a day for collection,Returns the available tiles for subGrid T6 and products for day for collection,getCollectionByIDDatesYearMonthDayTilesZoneT6
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/tiles/{zone}/t6/products,Show available products for all T6 tiles for a day for collection,Returns the available products for all T6 tiles for a day for collection,getCollectionByIDDatesYearMonthDayTilesZoneT6Products
get,eum,/collections/{collID}/dates/{year}/{month}/{day}/tiles/{zone}/t6/{t6Tile},Show available products for a t6Tile for a day for collection,Returns the available products for a t6Tile for a day for collection,getCollectionByIDDatesYearMonthDayTilesZoneT6Tiles
