operation,base_url,endpoint,summary,description,operationId
get,openeo,/,Information about the back-end,"Lists general information about the back-end, including which version and endpoints of the openEO API are supported. May also include billing information.",capabilities
get,openeo,/.well-known/openeo,Supported openEO versions,"Lists all implemented openEO versions supported by the	service provider. This endpoint is the Well-Known URI	(see [RFC 5785](https://www.rfc-editor.org/rfc/rfc5785.html)) for openEO.		This allows a client to easily identify the most recent openEO	implementation it supports. By default, a client SHOULD connect to the	most recent production-ready version it supports. If not available, the	most recent supported version of *all* versions SHOULD be connected to.	Clients MAY let users choose to connect to versions that are not	production-ready or outdated.	The most recent version is determined by comparing the version numbers	according to rules from [Semantic Versioning](https://semver.org/),	especially [§11](https://semver.org/#spec-item-11). Any pair of API	versions in this list MUST NOT be equal according to Semantic Versioning.		The Well-Known URI is the entry point for clients and users, so make	sure it is permanent and easy to use and remember. Clients MUST NOT	require the well-known path (`/.well-known/openeo`) in the URL that is	specified by a user to connect to the back-end.		For clients, the usual behavior SHOULD follow these steps:	1. The user provides a URI, which may consist of a scheme (protocol), 	   an authority (host, port) and a path.	2. The client parses the URI and appends `/.well-knwon/openeo` to the	   path. Make sure to correctly handle leading/trailing slashes.	3. Send a request to the new URI.	   A. On success: Detect the most suitable API instance/version (see above)	      and read the [capabilites](#tag/Capabilities/operation/capabilities)	      from there.	   B. On failure: Directly try to read the capabilities from the original URI	      given by the user.		**This URI MUST NOT be versioned as the other endpoints.**	If your API is available at `https://openeo.example/api/v1`, and	you instruct your API users to use `https://openeo.example` as connection URI, 	the Well-Known URI SHOULD be located at `https://openeo.example/.well-known/openeo`.	The Well-Known URI is usually directly located at the top-level, but it is not a	requirement. For example, `https://openeo.example/eo/.well-known/openeo` is also allowed.		Clients MAY get additional information (e.g. title or description) about	a back-end from the most recent version that has the `production` flag	set to `true`.",connect
get,openeo,/file_formats,Supported file formats,"Lists supported input and output file formats.	*Input* file formats specify which file a back-end can *read* from.	*Output* file formats specify which file a back-end can *write* to.		The response to this request is an object listing all available input	and output file formats separately with their parameters and additional	data. This endpoint does not include the supported secondary web	services.		**Note**: Format names and parameters MUST be fully aligned with the	GDAL codes if available, see [GDAL Raster	Formats](https://gdal.org/drivers/raster/index.html) and [OGR Vector	Formats](https://gdal.org/drivers/vector/index.html). It is OPTIONAL to	support all output format parameters supported by GDAL. Some file	formats not available through GDAL may be defined centrally for openEO.	Custom file formats or parameters MAY be defined.		The format descriptions must describe how the file formats relate to 	data cubes. Input file formats must describe how the files have to be	structured to be transformed into data cubes. Output file formats must	describe how the data cubes are stored at the back-end and how the 	resulting file structure looks like.		Back-ends MUST NOT support aliases, for example it is not allowed to	support `geotiff` instead of `gtiff`. Nevertheless, openEO Clients MAY	translate user input input for convenience (e.g. translate `geotiff` to	`gtiff`). Also, for a better user experience the back-end can specify a	`title`.		Format names MUST be accepted in a *case insensitive* manner throughout the API.",list-file-types
get,openeo,/conformance,Conformance classes this API implements,"Lists all conformance classes specified in various standards that the	implementation conforms to. Conformance classes are commonly used in	all OGC APIs and the STAC API specification. openEO adds relatively	broadly defined conformance classes, especially for the extensions.	Otherwise, the implemented functionality can usually be retrieved from	the [capabilties](#tag/Capabilities/operation/capabilities) in openEO.		The general openEO conformance class is `https://api.openeo.org/1.2.0`.	See the individual openEO API extensions for their conformance classes.		The conformance classes listed at this endpoint and listed in the 	corresponding `conformsTo` property in `GET /` MUST be equal.		More details:	- [STAC API](https://github.com/radiantearth/stac-api-spec), especially the conformance class ""STAC API - Collections""	- [OGC APIs](https://ogcapi.ogc.org/)",conformance
get,openeo,/collections,Basic metadata for all datasets,"Lists available collections with at least the required information.		It is **strongly RECOMMENDED** to keep the response size small by	omitting larger optional values from the objects in `collections` (e.g. the	`summaries` and `cube:dimensions` properties).	To get the full metadata for a collection clients MUST	request `GET /collections/{collection_id}`.		This endpoint is compatible with [STAC API 0.9.0 and later](https://stacspec.org) and	[OGC API - Features 1.0](http://docs.opengeospatial.org/is/17-069r3/17-069r3.html).	[STAC API extensions](https://stac-api-extensions.github.io) and	[STAC extensions](https://stac-extensions.github.io)	can be implemented in addition to what is documented here.		Note: Although it is possible to request public collections without	authorization, it is RECOMMENDED that clients (re-)request the collections	with the Bearer token once available to also retrieve any private collections.",list-collections
get,openeo,/collections/{collection_id},Full metadata for a specific dataset,Lists **all** information about a specific collection specified by the	identifier `collection_id`.		This endpoint is compatible with [STAC API 0.9.0 and later](https://stacspec.org) and	[OGC API - Features 1.0](http://docs.opengeospatial.org/is/17-069r3/17-069r3.html).	[STAC API extensions](https://stac-api-extensions.github.io) and	[STAC extensions](https://stac-extensions.github.io)	can be implemented in addition to what is documented here.		Note: Providing the Bearer token is REQUIRED for private collections.,describe-collection
get,openeo,/collections/{collection_id}/queryables,Metadata filters for a specific dataset,"Lists **all** supported metadata filters (also called ""queryables"") for	a specific collection.		This endpoint is compatible with endpoint defined in the STAC API extension	[`filter`](https://github.com/stac-api-extensions/filter#queryables) and	[OGC API - Features - Part 3: Filtering](https://github.com/opengeospatial/ogcapi-features/tree/master/extensions/filtering).	For a precise definition please follow those specifications.		This endpoints provides a JSON Schema for each queryable that openEO	users can use in multiple scenarios:	1. For loading data from the collection, e.g. in the process `load_collection`.	2. For filtering items using CQL2 on the `/collections/{collection_id}/items` endpoint	   (if [STAC API - Features is implemented in addition to the openEO API](#tag/EO-Data-Discovery/STAC)).		Note: Providing the Bearer token is REQUIRED for private collections.",list-collection-queryables
get,openeo,/processes,Supported predefined processes,"Lists all predefined processes and returns detailed process descriptions, including parameters and return values.",list-processes
get,openeo,/udf_runtimes,Supported UDF runtimes,"Lists the supported runtimes for user-defined functions (UDFs), which includes either the programming languages including version numbers and available libraries including version numbers or docker containers.",list-udf-runtimes
get,openeo,/credentials/oidc,OpenID Connect authentication,"Lists the supported [OpenID Connect](http://openid.net/connect/)	providers (OP). OpenID Connect Providers MUST support [OpenID Connect	Discovery](http://openid.net/specs/openid-connect-discovery-1_0.html).		It is highly RECOMMENDED to implement OpenID Connect for public services	in favor of Basic authentication.		openEO clients MUST use the **access token** as part of the Bearer token	for authorization in subsequent API calls (see also the information	about Bearer tokens in this document). Clients MUST NOT use the id token	or the authorization code. The access token provided by an OpenID Connect	Provider does not necessarily provide information about the issuer (i.e. the	OpenID Connect provider) and therefore a prefix MUST be added to the Bearer	Token sent in subsequent API calls to protected endpoints. The Bearer	Token sent to protected endpoints MUST consist of the authentication	method (here `oidc`), the provider ID and the access token itself. All	separated by a forward slash `/`. The provider ID corresponds to the	value specified for `id` for each provider in the response body of this	endpoint.  The header in subsequent API calls for a provider with `id`	`ms` would look as follows: `Authorization: Bearer oidc/ms/TOKEN`	(replace `TOKEN` with the actual access token received from the OpenID	Connect Provider).		Back-ends MAY request user information ([including Claims](https://openid.net/specs/openid-connect-core-1_0.html#Claims))	from the [OpenID Connect Userinfo endpoint](https://openid.net/specs/openid-connect-core-1_0.html#UserInfo)	using the access token (without the prefix described above). Therefore,	both openEO client and openEO back-end are relying parties (clients) to	the OpenID Connect Provider.",authenticate-oidc
